"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue"
"0.855","0.648","0.412079027882679","2.14275605303194","0.181818181818182","0.2018","0.871","-0.0020472037417831","0.00796809789088381",NA
"0.227","0.258","-0.653050159554556","1.2361389451577","0.551","0.107","-0.808625815041042","0.0790562500099863","0.779096055807179","0.227"
"0.294","0.648","-1.66901834760615","0.602428716095043","0.0909090909090909","0.6252","0.675","-0.0179972000444477","0.109475735602567",NA
"0.415","0.452","-0.470784560846471","3.33445179106385","0.000999900009999","0.231","-0.565312288678544","0.25370184301179","0.71751542274096","0.415"
"0.199","0.58","-1.11304177803922","1.83367845407896","0.272727272727273","0.654","0.129","-0.77974237659682","0.0987731167224108",NA
"0.57","0.678","-1.11311896795797","0.227513982581743","0.3845","0.758","-0.00956137047651371","0.0478291608117664","0.719107101545309","0.57"
"0.871","0.83","-0.474059330473175","0.482321186269295","0.454545454545455","0.8272","0.808","-0.371919881352733","0.300440882739014","0.640495846861493"
"0.264","0.171","-0.481318142028249","2.91788166276796","0.0678","0.112","-0.544824086264357","0.925724995146293","0.682335286441362","0.264"
"0.25","0.473","-1.70660429982535","2.84845430349303","0.272727272727273","0.5369","0.154","-0.386255491281279","0.175234440215837","0.474656797167134"
"0.303","0.942","-0.701790945268917","1.68630747839488","0.909090909090909","0.8917","0.6075","-0.364212350827886","0.435193186668307","0.542761165401893"
"0.535","0.519","-2.06269438390944","2.6367329080841","1","0.6886","0.364","-0.478121393965342","0.636825443561779","0.716991933819934"
"0.261","0.212","0.299466068044952","2.4053283134796","1","0.0057994200579942","0.235","-0.471227963199761","0.279713657167922",NA
"0.945","0.915","-0.99990411506414","1.13354360103311","0.454545454545455","0.6399","0.926","-0.379673960200304","0.408818992677695","0.519239299272627"
"0.54","0.813","-0.208378639817951","0.890143452915056","0.181818181818182","0.2764","0.805","-0.438851824372577","0.217943451562525",NA
