"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%"
0.86,0.996,-3.7988409796393,2.36392552163947,0.909090909090909,0.9704,0.985,-1.54531746904675,1.41533762109658
0.81,0.986,-0.831416463409463,1.48281941564434,0.544,1,-0.726769287484976,0.175223001124866,0.81
0.575,0.954,-2.01135096217733,5.73772601007287,0.636363636363636,0.9991,0.88,-0.606948641113626,0.319631437418921
0.527,0.63,-2.62561454542368,6.56131980471731,0.545454545454545,0.5737,0.635,-0.248300629407296,1.19496460832601
0.724,0.765,-6.20946407709421,8.77354783430926,0.545454545454545,0.9862,0.81,-5.86983265061233,0.751360189219925
0.97,1,-9.55508150462705,10.2184475473574,0.727272727272727,1,1,-1.69276549499027,0.169981702032139
0.628,0.609,-13.3192328601286,6.8978095869873,0.9985,0.803,-0.471745466383992,4.30779848837987,0.628
0.861,0.536,-5.7303702172065,5.64776926973433,0.272727272727273,0.4917,0.388333333333333,-4.21326738929908,0.683775431823121
0.307,0.745,-6.51887457156731,7.35761161763152,0.909090909090909,0.8178,0.39,-0.242065875282437,1.11750155891374
0.79,0.741,-2.61993931316569,1.78924013945257,0.181818181818182,0.9315,0.965,-1.25554093682484,1.9351213344346
0.76,0.972,-0.453267471958859,0.938559617575714,0.272727272727273,0.9961,0.895,-0.163160735839221,0.652293429890543
0.445,0.634,-0.796123402098995,0.552274276504436,0.636363636363636,0.9746,0.627,-0.432383416707113,0.833626034873548
0.824,0.874,-2.64407908443441,3.61467970010007,0.909090909090909,0.9997,0.9175,-0.104080176870906,0.081122177782014
0.999,0.982,-1.60017126567913,1.25045280963137,0.363636363636364,1,1,-1.46340131719398,0.893204204559888
0.886,0.994,-1.72787201667512,3.58847224279001,0.181818181818182,0.9828,0.98,-0.589825175710123,0.68863616770518
0.687,0.797,-0.382117338989134,1.03465238303152,0.9924,0.763333333333333,-0.239734300261412,0.0338880023476978,0.687
0.331,0.575,-1.65373197738962,3.27407516914905,0.727272727272727,0.5697,0.4475,-0.0628735483806351,0.0674559232548835
0.578,0.962,-0.720784300352655,0.356018517116635,0.727272727272727,0.9998,0.713333333333333,-0.171742932594232,0.266081462757812
0.954,0.889,-1.87937648208021,1.9639861213486,0.727272727272727,0.9754,0.925,-2.25636674687957,1.80158218464968
0.996,0.985,-0.0880119367746047,0.868068372978062,0.272727272727273,0.96,0.965,-0.42328695278487,0.386044693697896
0.758,0.984,-0.86999003760182,0.684372468375061,0.909090909090909,0.9965,0.972,-0.611935417186143,1.01988897543693
0.954,0.975,-0.259208954321975,0.369057527638369,0.545454545454545,0.9472,0.995,-0.351167081469662,0.191823674665551
0.808,0.764,-1.21850350582183,0.634449357071151,0.727272727272727,0.9997,0.872,-1.25285806401728,1.00966404593735
0.681,0.606,-0.284866601830314,0.475489535185128,0.545454545454545,0.9826,0.4875,-0.222829274045703,0.246729445291648
0.788,0.975,-0.313267597890905,0.271482873677861,0.363636363636364,0.9996,0.895,-0.550002704549021,0.296118319877022
0.995,0.682,-0.0892816917977245,0.753901001779319,0.545454545454545,0.5095,0.826666666666667,-0.682109195197672,0.606922101618767
0.79,0.994,-0.818358200390985,1.23722612204338,1,0.9995,0.965,-0.511290946857137,0.411254982435017
0.735,0.911,-0.142084265248699,0.178149276285224,0.909090909090909,0.8761,0.995,-0.402990344508656,0.240321272360994
0.452,0.569,-0.479311116198852,0.806483973937572,1,0.815,-0.992502900634465,0.986259174816944,0.452
0.714,0.812,-1.1153997274136,0.451458275738038,0.727272727272727,0.9999,0.91,-0.581278064850337,1.19343187366563
