"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue.pNIE"
"0.608","0.742","-3.69634411266184","3.76144682605865","0.909090909090909","1","0.853","-0.711902710385604","0.957077285670498","0.450437618152516"
"0.637","0.859","-6.42025496340824","5.44793391784285","0.181818181818182","0.9936","0.835","-0.456167738396268","0.507956680646089","0.899409199866659"
"0.541","0.556","-2.08246734022528","8.99014810013084","0.9823","0.6775","-1.47338294010261","1.28327475916573","0.392979845922474","0.541"
"0.471","0.465","-5.12041435472331","12.5959489933384","0.909090909090909","0.5613","0.673333333333333","-0.345710340552224","0.295677837295751","0.435320279088737"
"0.896","0.918","-1.3598916554651","1.82612217523583","0.181818181818182","0.9839","0.975","-0.179180999962509","0.241878501418724","0.367792195190732"
"0.879","0.9","-4.85968104481699","5.83629159026835","0.727272727272727","0.9982","0.926666666666667","-3.41808093005732","3.22783749935168","0.0812462518260275"
"0.977","0.998","-5.96966860744441","2.57899631177467","0.636363636363636","0.7812","0.97","-5.38872084086702","2.63329049290108","0.736614093570735"
"0.184","0.246","-2.70824110421646","5.33937387083316","0.727272727272727","0.3865","0.224","-0.972391065017938","1.13311139995773","0.770636172341134"
"0.714","0.613","-5.28859452645896","2.48408824100637","0.909090909090909","0.9837","0.379","-0.285227693384999","0.531180066051448","0.732351464205068"
"0.183","0.564","-8.15041564189022","6.36376030614403","0.363636363636364","0.5512","0.335714285714286","-2.12628982703816","1.67438822851472","0.876503487752683"
"0.533","0.691","-2.63795323060748","2.88186192706028","0.636363636363636","0.997","0.69","-1.25102468826748","1.61701526865506","0.491025053505689"
"0.318","0.824","-2.65418266612101","3.39746402064266","1","1","0.7825","-0.919770954677919","0.434809809168121","0.650881873485124"
"0.96","0.991","-5.87232763745584","3.99731501598373","1","0.958","0.99","-6.69943649797562","0.393755573820468","1.46194221233298e-05"
"0.992","1","-6.61075729425034","2.84108444882153","0.909090909090909","0.9832","1","-0.99792641805326","1.17886107661226","0.581135265962441"
"0.589","0.74","-1.15423304891732","1.6124350047592","0.545454545454545","1","0.88","-0.549541452321261","0.177960948816317","0.00024267197647676"
"0.327","0.304","-0.868855972694438","6.56143245425652","0.7538","0.354444444444444","-0.52749556871116","0.801936494936624","0.766803043086864","0.327"
