"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%"
0.097,0.028,-1.03791460253448,0.567610509003457,0.0909090909090909,0.0524,0.02997002997003,-0.0565386773904174,0.00269454641655457
0.597,0.556,-0.484517875500968,0.384015295408067,0.545454545454545,0.9897,0.732,-0.0627979634862201,0.0441604301289916
0.89,0.989,-0.237970868549279,0.354271718951188,NA,0.9204,0.975,-0.275562034881562,0.12590052553674
0.974,0.993,-0.240162774419074,0.402419581240916,0.636363636363636,0.9995,1,-0.279288397135381,0.0406248633782478
0.508,0.63,-0.403493513700608,0.937872348688066,0.9839,0.533333333333333,-0.0882897518080327,0.00449322859866531,0.508
0.738,0.702,-0.300971086038803,0.343321759189343,0.909090909090909,0.9984,0.816666666666667,-0.100183248529193,0.0778771114994907
0.888,0.914,-0.996777854927175,0.536524812671532,0.545454545454545,0.8608,0.955,-0.711789098252242,1.14502560535757
0.963,0.971,-0.269289073807884,0.333461076153094,0.818181818181818,0.9999,0.98,-0.0832292215203033,0.289390984155405
0.706,0.898,-0.395330578920838,0.227047874888799,0.9114,0.976666666666667,-0.454352225023334,0.282111158130976,0.706
0.986,0.988,-0.926521263159389,0.855416065241291,0.454545454545455,0.1888,0.97,-0.244975017249723,0.542884827284521
0.951,0.99,-1.25741935372287,1.51891379469954,0.727272727272727,1,0.87,-1.02238716470211,0.290639330461995
0.666,0.919,-1.70805988214714,1.08510509871198,0.181818181818182,0.9412,0.694,-1.0558489000537,0.20379857622024
0.737,0.66,-0.944052404400966,2.0365822156071,0.909090909090909,0.6281,0.739,-0.0316342703809586,0.237181677906439
0.709,0.925,-0.36146689055227,0.34528569287776,0.9999,0.93,-0.311080222396831,0.292374678992951,0.709
0.864,0.74,-0.643679359620769,1.04380769476511,1,0.74,-0.819895607571978,0.232230817593865,0.864
0.789,0.905,-1.02942733681331,0.543950259086785,0.0909090909090909,0.9969,0.92,-0.081130756644084,0.00616914658257546
0.933,0.946,-0.899195721780746,0.964629941945811,0.454545454545455,1,0.99,-0.216632901814145,0.147897005704822
0.98,0.969,-0.104200455422516,0.461711543210543,0.909090909090909,0.7302,0.94,-0.142678063510528,0.031485381726778
