"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue.pNIE"
"0.735","0.885","-4.51564292812446","1.83274714657301","0.727272727272727","0.9922","0.815","-0.947605191973793","0.647233387180394","0.793544572656232"
"0.545","0.781","-2.76210575587562","0.776942441634282","0.636363636363636","0.536","0.674","-0.572397326632526","0.481436236410261","0.929772792470193"
"0.712","0.496","-2.26123784630821","1.27709194489865","0.454545454545455","0.2944","0.676","-0.598773292488183","1.35217298124243",NA
"0.687","0.923","-0.317792579496162","1.4998932813091","0.181818181818182","0.9999","0.65","-0.999880768669841","2.09299380298101","0.755822407863118"
"0.893","0.958","-1.30620878110699","4.48390014786077","0.818181818181818","0.6845","0.99","-0.901899313011371","0.321167500361486","0.669652226564134"
"0.465","0.974","-2.51192127327802","1.72745234483809","0.0909090909090909","0.8848","0.472","-0.754432571212004","0.504800592799671","0.569320968248237"
"0.792","0.52","-5.74463883411033","1.34643152023902","1","0.9736","0.694","-3.22663771805761","4.87386938543525","0.354647390794501"
"0.137","0.284","0.918062422031965","8.0526162290744","0.545454545454545","0.0004999500049995","0.308","-0.796931059517671","1.00691617253098","1"
"0.485","0.83","-9.00116739453549","8.56068757083959","1","0.9833","0.638","-0.00923492416490574","0.375769088768659","0.0106150133723013"
"0.296","0.713","-8.15277201617829","3.22310780328676","1","0.0002999700029997","0.299","-7.67629925715613","2.51943930246991","0.713165826123897"
"0.558","0.954","-2.98392717615351","0.763984646509941","0.7085","0.683333333333333","-0.294854638035223","1.32635497226229","0.971633922534348","0.558"
"0.304","0.379","-6.13763900773387","3.44644894677678","0.818181818181818","0.4234","0.134","-2.96759477582456","5.57239152375062","0.591929800035072"
"0.126","0.103","1.70785015416625","15.5227345147607","0.636363636363636","0.4556","0.0669330669330669","-0.927678722089483","0.700429985713195","0.624124542098789"
"0.457","0.998","0.585087693178996","5.57340096933659","0.727272727272727","0.0153","0.325","-2.2265755819036","1.45350422030999","0.800223683508299"
"0.393","0.924","-2.26956892976544","1.13569269928978","0.545454545454545","0.8606","0.713333333333333","-2.21497352997514","3.11803710955911","0.308071326580444"
"0.358","0.727","-2.34141292003686","3.97786479074468","1","0.9932","0.863333333333333","-0.46592941469358","0.348568594814936","0.678151307651346"
"0.526","0.704","0.118027675792873","3.93191292640479","0.909090909090909","0.8837","0.502","-0.860102316430949","0.972968839381369","0.414913306241635"
"0.121","0.212","-3.21202240183964","9.03896167057425","0.818181818181818","0.9707","0.149","-4.81336384733415","0.751211695456421","0.653035878176921"
"0.496","0.739","-1.3582268800937","1.97560163081999","0.727272727272727","0.213","0.486","-0.892761351275499","1.01950811169103","0.0553799426877681"
"0.718","0.707","-6.0853265454166","11.0942315798131","0.818181818181818","0.9916","0.557","-0.0531254717855922","0.544385513395379",NA
"0.783","0.789","-4.63073070806521","2.3628018243132","0.909090909090909","0.9979","0.759","-1.51846971243685","0.613259705672597","0.872321734292043"
"0.444","0.782","-1.85022860368428","3.38503613723242","0.454545454545455","0.9866","0.352","-0.260083351017808","0.280114599704993","0.651537645714296"
"0.777","0.728","-6.34973605447727","4.38507424078983","0.636363636363636","0.9211","0.673","-0.226075314460408","0.435137129713507","1"
"0.398","0.289","-4.01180363782245","3.35486006300259","0.909090909090909","0.9348","0.37","-1.56870227617299","0.372162571105362","0.993176032080917"
