"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.542,0.635,-18.8122749666158,20.9922801807218,0.9993,0.38
0.036,0.052,-30.2682685752514,12.4463711520813,0.2935,0.050949050949051
0.981,0.988,-10.3354904764184,21.2230581126314,0.8529,0.99
0.379,0.777,-7.22551127754882,35.5167944981322,0.9754,0.42625
0.351,0.862,-23.147057612432,10.122751778402,1,0.445
0.761,0.788,-7.24123593137712,16.8468692960416,0.5983,0.566
0.6,0.886,-7.78035364526509,22.3826758636163,0.8418,0.426666666666667
0.456,0.565,-68.798815209614,20.2635045827745,0.003999600039996,0.447
0.323,0.299,-22.7574885347062,26.3172398041102,0.9685,0.321666666666667
0.949,0.915,-24.463020732494,4.67557788709305,0.0137,0.90375
0.41,0.693,-17.6310440911309,27.9117176098739,0.9276,0.305
0.94,0.993,-5.66480355683686,25.5778029959299,0.3647,0.965
0.546,0.356,-18.0782294672039,26.577289188655,0.4693,0.504
0.328,0.799,-20.8900611024774,24.8051869710725,0.9833,0.155
0.984,0.973,-14.120649928119,20.2600291948946,0.9486,0.975
0.487,0.327,-13.8941460091252,38.3570076908202,0.2584,0.288
0.748,0.644,-11.2777101801337,27.3186476241034,1,0.85
0.708,0.492,-34.4297138767397,13.8903289128838,0.7044,0.567
0.681,0.404,-25.801030106742,9.28418950007444,0.6216,0.366
0.428,0.507,-30.2683925116335,17.8020719328032,0.932,0.22
0.454,0.719,-22.5145776293447,16.2809459338277,0.3669,0.445555555555556
0.731,0.838,-20.2209261996868,29.4921540449314,0.9993,0.545
0.696,0.997,-26.0041801371294,45.9307764099263,0.2534,0.94
0.799,0.958,-10.9538950583289,17.8678679615967,0.9883,0.965
0.563,0.334,-42.8859741173401,9.96778210069721,0.9821,0.558
0.543,0.921,-18.720007210484,22.7131963880138,0.9981,0.615
0.993,0.987,-3.93710027598685,15.8361861526339,0.7629,1
0.962,0.998,-5.65289516566062,38.9096502819494,0.7769,0.99
0.487,0.82,-0.528250679246046,41.2556955059906,0.7402,0.5225
0.984,0.999,-30.526742820744,-0.835975931546929,0.0125,1
0.726,0.416,-9.65225208794437,24.7729755613006,0.99,0.48
0.477,0.838,-23.5315349910106,9.52015177638978,0.9767,0.247
0.201,0.908,-32.0454452751679,17.1312879401759,0.9885,0.305
0.609,0.268,1.68031053630645,32.8081529426086,0.2342,0.536
0.827,0.812,-23.5482294843514,39.162014387295,0.9998,0.791
0.461,0.347,-16.0987571682728,14.921503118803,0.8332,0.62
0.741,0.558,-53.2955103115425,40.3497023131511,0.9999,0.657
0.498,0.506,-8.65995435234133,22.3516297273213,0.8708,0.284
0.796,0.852,-36.3934608116527,55.9380247081786,0.9561,0.91
0.123,0.257,-35.5549550304105,-7.29474671802869,0.0025997400259974,0.134
0.353,0.168,-41.1824485302296,16.6326453978613,0.1368,0.378
0.761,0.992,-35.2319495483193,25.1745464354955,0.8968,0.745
0.719,0.926,-35.1788976054753,10.1191178102241,0.9721,0.274
0.466,0.303,-19.0461936146996,6.35209980070225,0.8785,0.708
0.712,0.279,-18.1565801731712,14.3256589694464,0.8797,0.394
0.696,0.516,-5.64103007189216,14.8294460231473,0.9691,0.488
0.495,0.881,-28.8925205346602,39.0836955372674,0.9982,0.664
0.997,0.998,-37.5922620472757,13.762321233727,0.6441,0.963
0.629,0.753,-7.39095650707329,31.0747230183565,0.1015,0.716666666666667
0.799,0.958,-10.9538950583289,17.8678679615967,0.9883,0.965
0.363,0.576,-4.24438889930345,30.4042187159967,0.129,0.309
0.275,0.172,-6.38851861240681,10.6386756896851,0.6814,0.335
0.524,0.979,-5.95005358684292,8.87999350404538,0.9969,0.923333333333333
0.735,0.698,-12.8333004667703,5.08588883027454,0.5193,0.89
0.337,0.094,-18.9046499176472,14.1888342134895,0.9495,0.101
0.484,0.365,-3.26709809393533,13.9741442336821,0.0045995400459954,0.59
0.491,0.608,-15.3541541581766,1.0233153513884,0.6347,0.495
0.394,0.947,-12.5577662638807,8.40898092000823,0.9741,0.3
0.687,0.997,-8.96143968944409,3.48224776893822,0.984,0.855
0.695,0.999,-17.2521434972903,0.425256845965898,0.7725,0.855
0.299,0.476,-5.84491056577444,9.00107094203098,0.6291,0.6525
0.851,0.945,-10.2018219921888,4.13353149070626,0.8426,0.636
0.833,0.716,-1.74075409539408,8.38334196557997,0.9161,0.7725
0.484,0.524,-9.55593114241287,5.53041104565841,1,0.55
0.372,0.716,-10.5888689575552,16.2889297000523,0.9914,0.51
0.131,0.029,-3.56864404415121,11.5298949477172,0.226,0.0809190809190809
0.262,0.474,-8.86211331284989,16.7710583299761,0.2206,0.239
0.931,0.969,-6.88171856382543,24.8859694436554,0.9983,0.828
0.612,0.972,-8.94752695851319,16.572826566819,0.8069,0.75
0.471,0.934,-2.29529708010104,21.8705823758922,0.0055994400559944,0.7675
1,0.994,-6.66849758164758,10.254536504937,0.9993,0.97
0.784,0.972,-10.1238644342561,15.730890308709,0.9983,0.656666666666667
0.554,0.94,-11.454276495128,3.47099692366579,0.9878,0.796
0.589,0.714,-19.1177450938816,3.54636766944102,0.0026997300269973,0.94
0.932,0.911,-22.9176884485397,12.9036663921814,0.9733,0.848
0.43,0.557,-19.4184432863389,4.61558198047375,0.0929,0.376
0.787,0.984,-8.32840861013636,10.8478011767218,0.9992,0.66
0.843,0.937,-10.9983395187007,15.2368413989093,0.9998,0.811
0.656,0.659,-20.1679537115826,3.83700067748224,0.0256,0.68
0.751,0.651,-16.8130491224303,14.4632337565267,0.977,0.791
0.98,0.985,-8.1346183310616,4.49306949633032,0.9675,0.956666666666667
0.5,0.722,-25.0970637559229,1.86380139577952,0.3021,0.484285714285714
0.857,0.597,-12.3723139709527,19.2040883602945,1,0.934
0.322,0.649,-2.85125112918754,24.8844366066441,0.5971,0.11
0.723,0.966,-5.80893691895257,13.6308944633399,0.9769,0.985
0.451,0.316,-6.23803835183999,5.45752451634952,0.0097990200979902,0.279
0.784,0.395,-3.84227384527191,20.778956958405,0.00999900009999,0.661
0.558,0.595,-7.72135646883082,11.151851222151,0.9429,0.749
0.117,0.037,-26.7806572469157,7.70919166033295,0.8091,0.133
0.732,0.762,-8.00457694801878,10.2587888868318,0.9987,0.76
0.082,0.062,-11.6004707615988,22.8400230159364,0.4674,0.0939060939060939
0.906,0.919,-2.63732625686713,11.0810332773615,0.975,0.875
0.198,0.256,-19.6438522468494,3.59784326395957,0.8855,0.136
0.482,0.753,-14.5380137577432,1.4851970386927,0.9942,0.409
