"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.957,0.978,0.235133404426975,32.1715279250921,0.2406,0.92
0.182,0.538,-58.8805550610752,89.6231342562567,0.9895,0.118
0.472,0.412,5.32759000898751,56.3117044639238,0.0027997200279972,0.472
0.567,0.759,-28.8415631232236,28.6985328473241,0.4373,0.143
0.919,0.95,-14.5409053951062,40.839698086959,0.9655,0.855
0.882,0.953,-25.0123226680856,69.7353633696698,0.0128,0.89
0.216,0.149,-24.6084874475193,25.5880824242131,0.7715,0.345555555555556
0.433,0.759,-23.9299588768474,27.1643935336881,0.9729,0.273
0.819,0.655,-58.664159785497,202.348500027806,0.0005999400059994,0.216
0.735,0.849,-26.1247714575404,26.3346811336858,0.9994,0.955
0.318,0.511,-29.780850595317,115.376709851737,0.0021997800219978,0.211
0.769,0.79,-5.86754877560705,32.6254828468396,0.9986,0.89
0.79,1,-49.3640790490274,26.8356879651823,0.9683,0.611111111111111
0.583,0.93,-57.5204178878755,-7.68155949027843,0.1009,0.962
0.834,0.817,-36.3199542768858,30.9458803570467,0.9975,0.966666666666667
0.978,0.238,-0.0944753496138261,45.0331756579173,0.8236,0.315
0.856,0.35,-12.9169333425703,46.9502324188326,0.5543,0.333
0.905,0.582,-43.456142401828,41.2131239291835,0.8602,0.66
0.799,0.854,-44.9981114945483,31.3500463676765,0.93,0.804
0.431,0.754,-18.7335212326287,45.294803507129,0.2295,0.294
0.437,0.638,-31.0124780263474,28.2244404998367,0.6417,0.426
0.992,0.894,-10.7888173264125,39.5455517198967,0.1054,0.446
0.612,0.887,-19.9644633744551,17.7646337053621,0.9667,0.77
0.809,0.664,-37.4518769170088,48.8803768343473,0.9771,0.79
0.118,0.094,-22.930190261568,70.5836611611882,0.8114,0.038961038961039
0.299,0.192,-118.63496854221,23.1607540688892,0.1502,0.139
0.015,0.137,-14.9979130981398,55.6716608908875,0.567,0.00799200799200799
0.666,0.829,-10.4936693376312,26.7037627171181,0.7044,0.345
0.533,0.459,-0.172653863458266,67.4287853778214,0.948,0.402222222222222
0.973,0.979,-15.9671903380672,56.8033208179325,0.0223,0.95
0.507,0.771,-23.1303681133353,35.7115708287613,0.8338,0.247
0.815,0.789,-21.6724309154283,18.2209609356645,0.8378,0.6775
0.834,0.83,-29.1501083837408,16.2343056406168,0.3559,0.956666666666667
0.453,0.784,-8.3567181089431,37.6839406007604,0.9567,0.31
0.9,0.748,-69.3372781494409,-9.59874023011486,0.0097990200979902,0.946666666666667
0.786,0.434,-23.9042308568118,50.7108135860501,0.7323,0.49
0.279,0.844,-16.5341559383201,57.8192496419772,0.8465,0.169
0.201,0.33,-53.9494447548956,49.0788112785569,0.6083,0.16
0.197,0.134,-44.9448654090864,49.9371133673979,0.8091,0.107
0.933,0.931,-15.095397652062,15.9221954238168,0.9997,0.94
0.254,0.496,-44.0621152615142,34.4375203447605,0.9986,0.581
0.553,0.616,-7.51616018196924,35.4120654432998,0.5432,0.678333333333333
0.503,0.992,-11.707780062277,40.8381171067484,0.995,0.806666666666667
0.352,0.76,-5.97098398826137,49.9260648530255,0.998,0.020979020979021
0.38,0.396,-15.8318585304817,38.1625843141616,0.5135,0.293
0.994,1,-46.9013344479268,27.0898566939482,0.1929,0.913
0.433,0.761,-12.7658124215675,38.687126326012,0.5258,0.252
0.592,0.944,-65.2746759208585,14.3583517284269,0.8143,0.591666666666667
0.533,0.324,-23.0034811867492,40.294672596555,0.9987,0.459
0.765,0.905,-70.1636018996045,13.7146469876335,0.9254,0.475
0.669,0.625,-18.7017891777975,20.7209235922776,0.8052,0.32
0.069,0.179,-38.12060750782,-3.17007914767306,0.0046995300469953,0.026973026973027
0.387,0.291,-21.9094510049141,15.4004714666184,0.6642,0.16
0.92,0.715,-6.5947342832364,32.022928250558,0.9523,0.905
0.224,0.611,18.9576977924006,53.4799222335214,0.0003999600039996,0.534
0.224,0.273,-11.4389854568184,18.7262040786395,0.8534,0.286
0.205,0.999,-14.9750885491112,24.367999114711,0.9693,0.23
0.475,0.505,-8.54997755391324,18.4193579876365,0.2421,0.544
0.168,0.851,-7.33163406239032,38.8933047115303,1,0.011988011988012
0.769,0.444,4.58477602363232,27.0132306284704,0.0012998700129987,0.566
0.462,0.994,-6.85301295744058,13.4785136319199,0.9806,0.5075
0.364,0.975,-6.06055813085538,17.9330122343534,0.815,0.0989010989010989
0.211,0.512,-8.89464216418929,29.738415281606,0.9947,0.231
0.842,0.927,-2.08214575530478,28.5093164078548,0.0129,0.883
0.304,0.642,-3.3607310153091,20.7289067809756,0.989,0.385555555555556
0.343,0.157,2.3574387469462,17.2441684732132,0.765,0.209
0.201,0.845,-0.23196997818011,32.5827571972824,0.6744,0.111
0.009,0.155,-24.6261615841374,31.3272956234668,0.3103,0.001998001998002
0.156,0.204,-16.8619320492328,26.665990412377,0.9706,0.045954045954046
0.369,0.339,-5.50926797820652,11.7588001009503,0.9972,0.512222222222222
0.799,0.79,-1.44493872485262,22.6394940626171,0.0043995600439956,0.393333333333333
0.751,0.877,-2.63373471344964,24.4818155764695,0.988,0.701
0.266,0.814,-9.83533146673974,25.4370572007677,0.6931,0.29
0.111,0.459,-5.62805427604098,19.2546740391602,0.1359,0.0599400599400599
0.296,0.402,-42.3681557025678,0.242121231535339,0.0024997500249975,0.532
0.004,0.134,-9.11103954146921,23.3953738667206,0.2432,0.000999000999000999
0.314,0.405,-7.95829074511603,38.2891533246468,0.754,0.143
0.303,0.6,-37.5508342394588,22.6747950019677,0.9606,0.224
0.053,0.027,-2.50052526570188,23.9938317950377,0.6948,0.00699300699300699
0.028,0.017,-36.4403220076016,15.8339461322701,0.0827,0.014985014985015
0.211,0.749,11.6269568241948,47.4967025618131,0.0007999200079992,0.0959040959040959
0.1,0.146,-5.75355217994987,58.8625773644813,0.0033996600339966,0.0939060939060939
0.823,0.843,-0.279094098714617,25.636942527432,0.8834,0.612
0.361,0.295,-2.66317886930972,18.1534485950061,0.2536,0.0739260739260739
0.119,0.268,21.3633791214084,60.6685665620777,0.0002999700029997,0.021978021978022
0.613,0.531,-10.4925875673541,16.8516557704855,0.9964,0.549
0.001,0.001,-86.0531014087832,-27.3023748727642,9.99900009999e-05,0.000999000999000999
0.098,0.06,-51.1704562082139,2.3740421156359,0.0037996200379962,0.0589410589410589
0.223,0.214,-11.1911276109496,11.092284543325,0.9321,0.291
0.013,0.22,2.08768457405545,29.5608365616275,0.0022997700229977,0.017982017982018
0.369,0.417,-9.81986055989507,25.199939859223,0.9943,0.54
0.152,0.296,-14.5238790578255,25.1497141932019,0.9947,0.020979020979021
0.806,0.548,-1.74050724424879,25.5722094671648,0.8232,0.577
0.132,0.186,-1.04914954453836,33.7615807915073,0.0124,0.178
0.021,0.239,-13.4695558067295,23.4829347590867,0.9354,0.00799200799200799
0.546,0.868,-12.5558701838769,18.2764560999199,0.8421,0.51
0.061,0.091,-46.8288000708276,6.07951570948542,0.6009,0.016983016983017
0.997,0.399,5.95037444803475,37.8495069711084,9.99900009999e-05,0.226
0.305,0.788,-19.2419648157507,16.4062608483695,0.9959,0.456
0.226,0.302,22.7365867922804,53.0743589322885,0.0002999700029997,0.0899100899100899
0.312,0.767,-5.94778038535802,7.18884892182165,0.8375,0.134
0.044,0.054,-14.2355469255375,5.8210664546495,9.99900009999e-05,0.014985014985015
0.338,0.174,-2.64355939217671,12.2651472553372,0.8194,0.111
0.282,0.488,-25.1268891490912,5.57572808889506,0.0732,0.16
0.078,0.064,6.28499338407141,19.722646456393,0.0002999700029997,0.0539460539460539
0.04,0.056,-2.33541800298795,11.68216158985,0.0060993900609939,0.02997002997003
0.318,0.636,-22.7379062550207,6.76108554526318,0.0013998600139986,0.239
0.005,0.109,-13.6816553560577,18.1916112919694,0.7406,0.000999000999000999
0.557,0.94,5.46722122721353,28.7069975728104,0.0304,0.284
0.007,0.674,-10.7762902926334,21.859199553078,0.7415,0.002997002997003
0.705,0.933,-25.1354032577176,0.0507913617624113,0.0005999400059994,0.618
0.525,0.919,1.66188663888799,14.8750305753054,0.0042995700429957,0.132
0.014,0.005,20.1165455501015,50.6467260526401,0.0003999600039996,0.001998001998002
0.081,0.042,11.3787472291469,41.6157749958196,0.0002999700029997,0.020979020979021
0.001,0.001,9.11025059797317,28.4426758993818,0.0004999500049995,0.000999000999000999
0.604,0.96,-13.132655834561,8.04439426156139,0.297,0.308
0.384,0.249,-28.3237772794064,10.720016906134,0.7468,0.216
