"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.165,0.667,-16.5618107278488,13.817000604556,0.0010998900109989,0.246
0.003,0.185,-17.4444565308549,1.89912412499003,0.2678,0.186
0.072,0.552,6.95222706897174,23.8490558622878,0.4002,0.032967032967033
0.015,0.03,-11.7414024319764,16.7110663617426,0.0679,0.004995004995005
0.393,0.986,-16.5023316873591,27.5269188493397,0.0024997500249975,0.0699300699300699
0.296,0.635,-8.26458622843011,19.2519652496367,0.0232,0.776
0.014,0.776,-27.3068464841864,9.63737467287943,0.9177,0.00799200799200799
0.686,0.82,-11.4367719953764,14.4004553493325,0.9258,0.816
0.947,0.282,-4.62845058973866,14.7999957841977,0.0011998800119988,0.854
0.425,0.328,-5.25149406614186,24.2807091456404,0.007999200079992,0.108
0.542,0.939,-1.4880940976173,25.2151865100313,0.5759,0.41
0.512,0.297,-6.39311943050929,16.7719078965209,0.4692,0.374
0.01,0.001,-9.49449179097753,33.7124654055328,0.0864,0.000999000999000999
0.385,0.582,-6.17759395430924,18.162264214418,0.0271,0.342
0.641,0.219,5.93671365573659,21.6707184009138,0.0108,0.0729270729270729
0.004,0.045,0.899883515135805,29.6529058316198,9.99900009999e-05,0.001998001998002
0.817,0.508,-6.18670898289293,20.8854177697288,0.0013998600139986,0.716
0.12,0.879,-9.71462839954189,18.1737504735648,0.1929,0.798
0.016,0.824,-3.85880906449377,27.3634306878451,0.0007999200079992,0.034965034965035
0.027,0.145,-12.6841367736263,33.9591429031552,0.0217,0.018981018981019
0.494,0.373,-14.9801248311765,17.9722865983494,0.9876,0.7
0.007,0.23,-28.9709244779028,-4.83741199935841,0.8224,0.369
0.04,0.186,-37.1611738749603,20.5819786093188,0.0688,0.004995004995005
0.168,0.939,-1.15369824655127,32.8428177492932,0.0010998900109989,0.463
0.145,0.156,-5.17220656920813,14.3324773602595,0.8317,0.2
0.037,0.618,-23.1020312031005,-7.82836771687259,0.2272,0.238
0.565,0.638,-10.8747082732876,13.7697495595406,0.9885,0.645
0.735,0.56,-28.8960199243676,2.77662514438834,0.9458,0.285
0.044,0.65,1.54310792890146,24.4046482111723,0.2163,0.002997002997003
0.141,0.513,20.1612432272253,43.1328169859271,0.0195,0.010989010989011
0.965,0.439,-13.4825954647915,-1.79364515626303,0.1065,0.275
0.317,0.037,-24.8416643925135,1.16246756815503,0.0075992400759924,0.000999000999000999
0.087,0.906,7.58577698305422,30.2453215189333,0.0002999700029997,0.175
0.135,0.787,-13.7608601664852,10.9166111409967,0.9246,0.212
0.389,0.574,-9.67276875676931,13.0839806539097,0.0074992500749925,0.247
0.009,0.523,-19.8985378451371,17.9239379501189,0.0934,0.022977022977023
0.232,0.999,-17.3807717488111,14.4941043264615,0.0205,0.0609390609390609
0.01,0.055,-17.6411879118434,8.65882282785529,0.0616,0.010989010989011
0.143,0.853,-12.8076137002955,10.4858465436181,0.9588,0.282
0.905,0.282,-6.64782988454668,45.5165561659569,0.0002999700029997,0.382
0.147,0.425,-7.04191637144318,13.9200432922719,0.6989,0.31
0.028,0.005,-9.35213743980595,6.49512909809119,0.0017998200179982,0.00999000999000999
0.109,0.726,-17.5229714774019,5.53547622193799,0.2634,0.299
0.097,0.552,-16.1872274609857,14.1101014736002,0.2482,0.216
0.562,0.751,-7.70363365346295,11.3410844567204,0.9144,0.607
0.564,0.456,-28.150405936577,-3.29135737962963,0.4965,0.65
0.116,0.144,-29.3416406234375,15.4276116372188,0.8844,0.0959040959040959
0.939,0.085,-3.93799004849334,36.9915226299682,0.0002999700029997,0.183
