"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.763,0.716,-14.2526896454931,19.9117116487311,0.8004,0.95
0.046,0.034,15.2505680922822,115.941734880513,0.2538,0.01998001998002
0.926,0.842,-60.6165302520124,-12.4308227097051,0.0166,0.786666666666667
0.204,0.851,-19.3053124419294,36.7131889913672,0.3474,0.364
0.368,0.611,-43.2352260310508,38.9505614906321,0.1901,0.181
0.749,0.782,8.06552706858204,48.9560518508275,0.0057994200579942,0.87
0.328,0.389,-21.9778740134262,48.8744800884655,0.9682,0.496
0.405,0.846,-24.4854337759807,49.5085087512867,0.8109,0.226
0.672,0.991,-35.8369708476163,4.38788397507911,0.2975,0.993333333333333
0.454,0.985,-19.2173371422723,3.38437057543326,0.2117,0.636666666666667
0.398,0.509,-42.3706633156216,16.7543169038996,0.5674,0.381
0.234,0.46,-54.0282776696272,54.9912868923246,0.7865,0.301
0.428,0.978,-35.7826339662037,48.6344528025434,0.7762,0.329
0.19,0.384,-20.78923902184,26.6547668776425,0.7439,0.216
0.629,0.555,-23.2872559441415,44.7875241512753,0.9984,0.632
0.072,0.29,-49.6184647932343,7.24426062345084,0.1848,0.36
0.362,0.27,-42.0970111583295,26.1623147572606,0.4207,0.288571428571429
0.406,0.937,-27.4436618625426,10.5787692916887,0.7358,0.444
0.049,0.031,1.95171485874351,53.5011625285097,0.0006999300069993,0.002997002997003
0.899,0.97,-17.3910729073548,38.350508638785,0.6557,0.985
0.07,0.286,-40.1480543629323,45.0124101246975,0.9223,0.0989010989010989
0.889,0.873,-26.8787876544441,78.5529525228903,0.7055,0.98
0.665,0.92,-43.9506550759464,1.38370785892231,0.0012998700129987,0.885
0.465,0.848,-86.529453936148,38.4024766982128,0.0873,0.6525
0.436,0.922,-28.1780742491474,23.1685388920188,0.8597,0.245
0.395,0.738,-31.4541983371998,40.6966239965338,0.8609,0.6225
0.954,0.941,-21.7444693679914,35.2218594407746,0.9204,0.768571428571429
0.931,0.926,-1.11923622067706,39.020533654094,0.0473,0.94
0.24,0.397,2.5106556913872,47.3612299950703,0.0296,0.2475
0.794,0.661,-12.9399502053502,21.3216319522372,0.9697,0.774
0.473,0.873,-58.3249947169849,24.1026535741724,0.0614,0.438
0.361,0.754,-13.5528311914744,22.0235485937276,0.9968,0.826666666666667
0.204,0.407,-17.478257037859,35.7790167242707,0.7647,0.371428571428571
0.924,0.626,-48.9196162889116,20.7599853967856,0.9215,0.736666666666667
0.311,0.892,-22.506654204613,17.363693566239,0.9998,0.62
0.148,0.648,-69.9130296143442,9.09283425424938,0.0071992800719928,0.282
0.738,0.985,-19.3653611537108,44.9761427776333,0.0306,0.765
