"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.838,0.738,-0.261553882289253,2.40056218926995,0.0381,0.000999000999000999
0.582,0.816,0.372894013685658,2.70205789872475,0.1024,0.000999000999000999
0.038,0.208,-0.287786686047799,2.95525064759664,0.8322,0.00899100899100899
0.051,0.434,0.354332933818745,3.9521077463937,0.2403,0.0729270729270729
0.001,0.655,-3.0367875523826,2.47875141624571,0.6705,0.436
0.001,0.095,1.11204494645539,5.87808183145982,0.564,0.212
0.057,0.497,0.132689373985308,4.29495433114183,0.3915,0.002997002997003
0.001,0.214,-0.92801739523243,3.32483352895305,0.6957,0.0739260739260739
0.857,0.412,-6.87000286884078,-1.76890085370988,0.0006999300069993,0.001998001998002
0.204,0.76,-1.23535859564315,1.08571918224631,0.0115,0.000999000999000999
0.002,0.004,-1.0334870314168,3.66308534797226,0.9965,0.469
0.666,0.329,0.414698578763295,3.98709442212059,0.0006999300069993,0.000999000999000999
0.018,0.242,-1.78084259694979,2.42945919302242,0.1935,0.0649350649350649
0.007,0.189,-1.64198747221872,2.20553292960089,0.2896,0.000999000999000999
0.158,0.06,-1.51005778567577,2.77493150061319,0.5655,0.023976023976024
0.024,0.422,-1.58816881464724,1.87418772682293,0.1409,0.000999000999000999
0.001,0.001,-5.47077803362304,0.633106727619505,0.0011998800119988,0.246
0.047,0.814,1.57977634458182,4.76921127128039,0.2933,0.0989010989010989
1,0.001,1.08048267677291,4.35623122793166,9.99900009999e-05,0.000999000999000999
0.009,0.023,-0.690108731617242,1.2865773750071,0.0456,0.000999000999000999
0.017,0.589,0.865932177564626,4.18418673708322,0.324,0.020979020979021
0.077,0.53,-1.05490924628001,1.18808750604315,0.0003999600039996,0.000999000999000999
0.002,0.091,-0.864486785779559,1.05490803219368,0.701,0.000999000999000999
0.014,0.901,-1.00037874045998,3.22865060404414,0.6826,0.00699300699300699
0.015,0.717,-2.95158075213828,1.2887914545301,0.0222,0.000999000999000999
0.014,0.569,0.827777753239421,3.34874604996873,9.99900009999e-05,0.000999000999000999
0.004,0.001,0.140408701496907,2.70754649532045,9.99900009999e-05,0.000999000999000999
0.141,0.41,-1.52271723170358,1.5685170014806,0.186,0.000999000999000999
0.888,0.316,0.570576227947334,4.06591377041861,0.7238,0.15
0.995,0.001,-4.09640098323175,0.545600346390758,0.0023997600239976,0.035964035964036
