"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.659,0.93,-0.15856623401216,0.493297773846856,0.985,0.97
0.37,0.329,-0.509615044537395,0.351257710416496,0.924,0.388
0.984,0.964,-0.176798082689048,0.320066999150773,0.8617,0.765
0.523,0.598,-0.391437221081843,0.26118825672628,0.9934,0.355
0.917,0.965,-0.255649707126703,0.218650110615551,0.9994,0.925
0.993,0.915,-0.183801150967774,0.272810641790875,0.9999,0.978
0.857,0.998,-0.45405565612617,0.346651596908486,0.9901,0.965
0.423,0.986,-0.231640498721518,0.297518480187335,0.9811,0.8
0.307,0.854,-0.317124465167641,0.429532657378959,0.9546,0.933333333333333
0.979,0.967,-0.248820119329916,0.490820218263773,0.998,0.992
0.797,0.932,-0.265782524944352,0.276332297375964,0.9608,0.99
0.277,0.459,-0.320216733228301,0.235027615364302,0.9918,0.834444444444444
0.687,0.743,-0.12182760605696,0.691299441527712,0.9532,0.108
0.427,0.898,-0.239661379157813,0.295077651513237,0.9919,0.595
0.645,0.684,-0.255720083243438,0.201206502620881,0.9844,0.975
0.671,0.513,-0.1723302560443,0.41402621861933,0.9949,0.427
0.364,0.54,-0.306743462432977,0.251970273719982,0.5743,0.778333333333333
0.715,0.997,-0.11107628447307,0.322037158585279,0.8724,0.93
0.909,0.876,-0.341856194143959,0.22395098431429,0.9632,0.945
0.918,0.856,-0.267204809335002,0.500718261571194,0.8666,0.375
0.919,0.779,-0.2933733095417,0.207692439790768,0.4597,0.606
0.427,0.799,-0.248092358612085,0.258389043756327,0.9998,0.996666666666667
0.845,0.994,-0.473493750922122,0.282442489524035,0.9666,0.753333333333333
0.63,0.98,-0.295844896416476,0.370407739128325,0.957,0.581666666666667
0.74,0.918,-0.41011593202997,0.258596378891336,0.9224,0.915
0.954,0.972,-0.232817561537752,0.414779961358486,1,0.98
0.922,0.862,-0.177239475449292,0.257279528839276,0.9834,0.96
0.873,0.945,-0.383615422591569,0.182359025268974,1,0.848333333333333
0.697,0.989,-0.235094597632075,0.325977752641113,0.9944,0.778
0.752,0.687,-0.0932657719581844,0.252855596455581,0.9998,0.96
0.761,0.942,-0.55934476376449,0.341353455063482,0.9657,0.482
0.396,0.455,-0.255916754865407,0.421606503010313,0.9288,0.504285714285714
0.609,0.929,-0.0878480052688761,0.443671474020382,0.9854,0.593333333333333
0.82,0.804,-0.427989538129628,0.18545613626674,0.9971,0.97
0.913,0.968,-0.178210937497948,0.396460937306168,0.9998,0.98
0.98,0.863,-0.19509077607594,0.334713375289725,0.9998,0.879
0.522,0.685,-0.234120010421578,0.316741640466817,0.999,0.956666666666667
0.708,0.886,-0.0940234733608489,0.448923516681258,0.9394,0.89
