"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.028,0.209,-7.42664976038792,6.77060942704766,0.9669,0.050949050949051
0.004,0.367,-4.92042075286911,0.21063453815244,0.2013,0.001998001998002
0.432,0.474,-1.72483082102562,7.77078155382843,0.8856,0.0659340659340659
0.119,0.758,-0.714805049544715,10.4429431713925,0.0179,0.01998001998002
0.011,0.779,-6.00582849812348,-0.0909707073381396,0.0002999700029997,0.00599400599400599
0.247,0.597,-0.986123415049174,12.2247905580127,0.4709,0.0809190809190809
0.037,0.244,-4.31030370366802,5.68713327165576,0.2026,0.0679320679320679
0.08,0.058,-3.02444870387696,1.66936009776597,0.0896,0.000999000999000999
0.464,0.239,-4.51803822992639,8.74447439084774,0.4525,0.036963036963037
0.001,0.001,-13.591403975789,13.8642837854227,0.9336,0.0929070929070929
0.935,0.568,0.37501713658586,5.46659320611927,0.0203,0.000999000999000999
0.019,0.003,-4.5557269901746,7.06913242609002,0.945,0.000999000999000999
0.741,0.165,-5.52110866639739,3.30555421549574,0.6057,0.01998001998002
0.056,0.035,-17.8903704760548,6.54437000103746,0.0014998500149985,0.000999000999000999
0.001,0.007,-7.93251642019419,-0.10060892757904,0.0676,0.000999000999000999
0.001,0.001,2.13923207296972,18.4089446469236,0.4502,0.0689310689310689
0.002,0.946,-4.94374076802863,12.4211438236461,0.9981,0.907
0.277,0.954,-2.47905251426518,2.87996666890204,0.0219,0.004995004995005
0.014,0.024,-3.41199444760901,4.79614459286153,0.0833,0.000999000999000999
0.193,0.306,0.280950122969165,15.1382058633451,0.936,0.13
0.012,0.402,-4.1467213261614,0.707544146552166,0.033,0.265
0.039,0.24,0.480706644794291,7.73400375402968,0.0176,0.000999000999000999
0.084,0.713,-2.59416352357755,5.9509039633612,0.9978,0.000999000999000999
0.001,0.035,4.11065895600739,66.4204998040399,0.0096990300969903,0.000999000999000999
0.036,0.364,-0.290378669919667,5.70516692131841,0.0844,0.212
0.007,0.135,-3.39701388527728,8.2888331147851,0.0008999100089991,0.000999000999000999
0.034,0.229,-6.49531145599635,8.03981896827272,0.9863,0.172
0.303,0.832,-1.42407783723337,3.88379952959159,0.7996,0.00999000999000999
0.022,0.964,-6.45900972961667,8.72064349461266,0.7336,0.000999000999000999
0.015,0.752,-0.39009382465708,8.8017280829445,0.0003999600039996,0.000999000999000999
0.025,0.322,-5.96858726192079,14.5934050703406,0.3464,0.00599400599400599
0.538,0.236,-8.70528941299693,5.66510494249049,0.6925,0.028971028971029
0.153,0.066,-6.36778689903198,2.77193843609481,0.3609,0.13
0.001,0.017,-1.55984765163657,11.9032782723833,0.5776,0.328
0.302,0.826,-2.41458158321926,8.55769011212003,0.9215,0.0639360639360639
0.157,0.238,-1.51966878180596,4.0637798411667,0.4994,0.002997002997003
0.605,0.359,-1.6069706852713,7.09509173385287,0.022,0.000999000999000999
0.086,0.597,-1.33552541444123,2.14448234686244,0.9336,0.0729270729270729
0.025,0.327,-3.26567939453868,13.7861210468074,0.6335,0.0679320679320679
0.032,0.492,-3.63264248071381,17.868212938464,0.5728,0.010989010989011
0.001,0.001,-20.9403465246353,1.58175602430588,0.9379,0.032967032967033
0.637,0.932,-4.73336976981801,2.44572869976914,0.9841,0.488
0.078,0.076,-6.98162591004547,6.35392293944691,0.7759,0.000999000999000999
0.137,0.221,0.697537552591642,9.01372015032774,0.0178,0.000999000999000999
0.051,0.644,-2.78616934226081,9.79550885319301,0.854,0.002997002997003
0.007,0.001,-5.56226137454027,3.05044604279681,0.2079,0.196
0.028,0.129,-1.76731198796366,3.7709304721844,0.0243,0.000999000999000999
0.002,0.007,-3.00537391728442,3.21846103293252,0.5624,0.022977022977023
0.493,0.682,-4.53531332377638,5.73514935307995,0.9925,0.00599400599400599
0.04,0.005,-16.1056890633141,7.92626193661062,0.0045995400459954,0.000999000999000999
0.765,0.599,-5.34743940889434,4.83960760041133,0.6965,0.353
0.165,0.363,-3.29846750310746,5.9254593982777,0.2873,0.000999000999000999
0.64,0.899,-8.44502527610927,8.76273179106643,0.9603,0.0829170829170829
0.053,0.867,-2.96859501790224,3.11665898443801,0.6321,0.00799200799200799
0.277,0.372,-4.21775267205659,9.84599625908918,0.3248,0.045954045954046
0.001,0.001,-7.59335530186028,11.1279043443562,0.9703,0.278
0.132,0.879,-6.5315233561504,0.953161089785311,0.4482,0.011988011988012
0.028,0.534,4.28672174487376,17.7328865557248,0.9907,1
0.168,0.084,-1.93433716395657,3.09361946368871,0.8831,0.017982017982018
0.106,0.402,-3.0937140252931,8.15574738923553,0.9992,0.0549450549450549
0.144,0.005,-1.13631516699894,5.82179034918491,0.005999400059994,0.000999000999000999
0.036,0.682,-3.14301708174971,13.7255613198198,0.0728,0.002997002997003
0.08,0.849,-5.66242895936523,1.74041922364187,0.8474,0.00699300699300699
0.065,0.664,-0.643605771309692,14.437486133984,0.4713,0.352
0.024,0.029,-2.39715438047455,3.63982337456004,0.1351,0.00699300699300699
0.001,0.001,0.401734807912072,15.3029291352872,0.0289,0.00599400599400599
