"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
1,0.099,-0.154263396387613,5.56331038099919,0.644,0.047952047952048
0.026,0.605,-4.64260968884744,13.0211401250317,0.9589,0.197
0.137,0.419,-5.02601007437217,6.01224809610699,0.7565,0.00799200799200799
0.194,0.923,-0.259855237398242,11.1159964936392,0.7124,0.42
0.159,0.827,-4.7530187319462,12.3109775471208,0.0344,0.293
0.009,0.414,-1.52954089831289,12.9497310300216,0.3129,0.273
0.14,0.551,-3.80232207817262,11.2061388313345,0.0465,0.334
0.038,0.377,1.53781069595491,7.92365714483347,0.132,0.117
0.585,0.995,0.47207890413617,9.21899868848612,0.7054,0.00799200799200799
0.293,0.378,-0.99191428316585,10.1765099143257,0.0114,0.000999000999000999
1,0.11,-16.2808699421698,-1.13536820034357,0.9628,0.00699300699300699
0.181,0.62,-4.05638296166841,6.97325922938,0.9643,0.578
0.942,0.533,-1.03353978335472,11.2680138574254,0.274,0.000999000999000999
0.051,0.095,2.01769307885565,10.8132897538808,0.2591,0.154
0.155,0.945,-2.34085733463166,9.46683649927406,0.0657,0.042957042957043
0.01,0.066,-0.477612081747168,6.14144321491278,0.2117,0.282
0.008,0.013,-3.01808065909404,3.06582734565817,0.5965,0.000999000999000999
0.137,0.331,-2.52493846824263,8.86632021176395,0.0716,0.000999000999000999
0.082,0.685,-1.9087265766416,12.7089501455446,0.2315,0.522
0.049,0.402,-0.658117250940818,10.3110354539104,0.0035996400359964,0.004995004995005
0.488,0.715,-7.2096189837916,4.50453824681759,0.9122,0.000999000999000999
0.978,0.747,-3.74724262071371,6.86813969960377,0.0241,0.116
0.047,0.414,-1.78709681723648,12.3045327378573,0.0066993300669933,0.016983016983017
0.533,0.121,-5.84811808095393,7.76337495285032,0.7656,0.0809190809190809
0.773,0.717,0.851691311055416,7.87640639510876,0.9233,0.000999000999000999
0.001,0.001,3.46859797873776,13.1914801928618,0.1604,0.127
0.166,0.339,-1.59111222072128,9.55616872652039,0.0001999800019998,0.000999000999000999
0.994,0.249,1.86158860668815,8.91440485466406,0.0729,0.031968031968032
0.001,0.002,-2.40577274767006,8.95657758530629,0.5626,0.0879120879120879
0.642,0.836,-1.00990651126695,7.93873597546388,0.9705,0.493
0.221,0.645,-4.12060723311057,7.33897293903543,0.9779,0.003996003996004
0.043,0.149,-6.5993064707354,4.92830415417845,0.0985,0.000999000999000999
0.001,0.027,-18.6096816676809,9.72215569954161,0.2084,0.011988011988012
0.001,0.001,-23.8333255702217,-0.79785599650387,0.2089,0.116
