"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.012,0.281,-0.282180627010954,14.43499087558,0.708,0.349
0.007,0.24,-16.9658614514751,2.3567014515272,0.1662,0.0759240759240759
0.003,0.058,-7.72836509895727,12.8139601886516,0.0843,0.045954045954046
0.002,0.116,-1.1236858092351,6.2586472391266,0.4454,0.000999000999000999
0.015,0.222,-0.591186123717153,11.4894448389492,0.2378,0.001998001998002
0.009,0.015,-2.42750596887025,6.85522155684181,0.1877,0.00799200799200799
0.019,0.843,-12.4791098520283,5.43637054759629,0.8756,0.233
0.015,0.139,-5.59441880189641,11.5849058086989,0.0654,0.0719280719280719
0.623,0.407,2.26553200022089,10.7567458360067,0.0061993800619938,0.457
0.001,0.003,-19.3770354253523,2.72598890650301,0.0061993800619938,0.171
0.003,0.189,-1.00585453609369,11.7839185753484,0.3556,0.004995004995005
0.178,0.139,-5.99702814488615,1.93676340927839,0.2168,0.000999000999000999
0.999,0.015,-1.57844044470007,8.91801289845394,0.8206,0.000999000999000999
0.037,0.243,-7.14497427098264,9.24200347973408,0.0585,0.000999000999000999
0.003,0.034,1.79498811037741,17.1209490536591,0.3123,0.225
0.413,0.5,-4.28489995996571,3.06947713153933,0.047,0.024975024975025
0.003,0.287,-4.77319987895627,0.777168913654105,0.0382,0.000999000999000999
0.003,0.057,-1.47677357144848,9.96778078664827,0.3515,0.00799200799200799
0.034,0.628,-5.29906172912006,3.55434645890413,0.3386,0.00699300699300699
0.315,0.985,1.60663252413861,12.2297833225775,0.0011998800119988,0.011988011988012
0.025,0.861,-8.86919760017614,2.09422778222768,0.0002999700029997,0.000999000999000999
0.028,0.734,-1.47789812474929,14.4736276821868,0.5943,0.011988011988012
0.115,0.144,8.15456658710972,20.6073179288419,0.0602,0.451
0.287,0.473,-5.10993747617294,7.83390909060571,0.098,0.00599400599400599
0.123,0.887,-4.50038064034205,11.9963536454376,0.9888,0.040959040959041
0.038,0.291,-5.24696722123762,7.17800712439079,0.6771,0.003996003996004
0.028,0.734,-1.47789812474929,14.4736276821868,0.5943,0.011988011988012
0.115,0.144,8.15456658710972,20.6073179288419,0.0602,0.451
0.287,0.473,-5.10993747617294,7.83390909060571,0.098,0.00599400599400599
0.123,0.887,-4.50038064034205,11.9963536454376,0.9888,0.040959040959041
0.038,0.291,-5.24696722123762,7.17800712439079,0.6771,0.003996003996004
0.028,0.734,-1.47789812474929,14.4736276821868,0.5943,0.011988011988012
