"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.338,0.935,1.22164874596281,2.99571271332547,0.0012998700129987,0.00999000999000999
0.091,0.341,0.474728794334514,3.54976539995885,0.2026,0.000999000999000999
0.622,0.94,1.09867411508186,4.03414590802181,0.394,0.000999000999000999
0.215,0.817,2.51732362071262,5.79921473429598,0.9143,0.000999000999000999
0.045,0.436,1.48264615874262,4.56771842713901,0.1298,0.000999000999000999
0.681,0.238,1.6517259823136,4.9290829403279,0.0828,0.000999000999000999
0.023,0.001,0.816600477529707,3.28381859303662,0.0001999800019998,0.000999000999000999
0.143,1,0.0623047677169218,3.09754857620827,0.0002999700029997,0.000999000999000999
0.062,0.186,0.939233807865405,3.33308298813214,0.7545,0.000999000999000999
0.228,0.589,1.64463058850252,4.30232819356137,0.0016998300169983,0.000999000999000999
0.103,0.286,0.326462316785132,4.45122748492697,0.4866,0.000999000999000999
0.167,0.981,1.82433349870679,4.27635151826351,0.5743,0.000999000999000999
0.002,0.001,0.629243127484005,3.57076665706161,0.9124,0.000999000999000999
0.185,0.845,2.27242006096978,5.08433874780592,0.0946,0.000999000999000999
0.001,0.001,-6.00833136118376,-2.09529686173509,0.0642,0.138
0.999,0.64,1.68597655696768,4.49225715880317,0.8282,0.000999000999000999
0.767,0.658,0.676970096664184,3.94878786988137,0.7894,0.000999000999000999
0.17,0.993,1.6751633550771,5.3547480754521,0.4706,0.000999000999000999
0.003,0.09,0.546072458783699,3.41110434129188,0.2608,0.00599400599400599
0.298,0.703,1.8461346516689,4.30389550896225,0.0090990900909909,0.000999000999000999
0.427,0.981,2.05910518770482,4.81916400929155,0.133,0.000999000999000999
0.205,0.656,0.357256549593297,3.9876448970543,0.0104,0.000999000999000999
0.099,0.541,3.99948420828011,7.22562684918878,0.0003999600039996,0.000999000999000999
0.155,0.355,1.1306244291855,3.79636647394037,0.0002999700029997,0.000999000999000999
0.103,0.495,1.6770018440618,4.04908956830975,0.0994,0.000999000999000999
0.151,0.362,0.512487555962087,3.65580397431491,0.0003999600039996,0.000999000999000999
0.799,0.881,-0.244150407458544,3.11309252813476,0.8632,0.000999000999000999
0.278,0.994,0.682540490801004,4.06067889386842,0.9975,0.000999000999000999
0.001,0.001,-8.24810164161806,-4.20883837954275,0.0013998600139986,0.000999000999000999
0.001,0.001,-15.6478813832003,-11.2502628221969,0.0002999700029997,0.161
0.015,0.001,-18.7778161509975,-14.7275606297787,9.99900009999e-05,0.002997002997003
0.397,0.883,0.661434249567607,3.85349167244922,0.0201,0.000999000999000999
0.001,0.001,1.63377457874558,4.98716289949561,0.0942,0.00799200799200799
0.18,0.124,0.528794884462825,2.82137730922685,0.5719,0.000999000999000999
0.133,0.392,1.57875258809696,4.87392148476192,0.3648,0.000999000999000999
0.273,0.847,0.658459918156586,4.00809055190028,0.9482,0.000999000999000999
0.172,0.994,0.919207777903336,3.63226008429644,0.0010998900109989,0.001998001998002
0.112,0.571,0.823370826576797,4.3579983051879,0.2552,0.000999000999000999
0.183,0.814,0.718688961139428,4.24002446479909,0.0008999100089991,0.000999000999000999
0.001,0.001,-5.20053376451265,-1.31369798089497,0.9212,0.569
0.243,0.953,1.31779769105863,4.34869553458621,0.0127,0.000999000999000999
0.029,0.135,3.25882071805069,6.90712367001836,0.0008999100089991,0.000999000999000999
0.172,0.78,1.54457680061096,4.79181645548511,0.979,0.001998001998002
0.313,0.686,1.23408212662986,3.84880361996286,0.3458,0.000999000999000999
0.162,0.939,4.52359404576123,7.27301719315107,0.0001999800019998,0.000999000999000999
0.269,0.594,1.95317251228135,4.46078017345339,0.9223,0.000999000999000999
0.087,0.758,-0.515339911366779,2.60033755122139,0.5251,0.000999000999000999
0.164,0.048,0.362499283764435,3.32608614413685,0.0004999500049995,0.000999000999000999
0.603,0.367,1.86437420198413,4.5470808370513,0.3767,0.000999000999000999
0.003,0.44,1.26101821011388,3.95113279673442,0.9927,0.00799200799200799
0.007,0.096,4.13801571613956,6.97053015041278,0.0004999500049995,0.002997002997003
0.377,0.588,0.282303847089191,3.67514856839388,0.5514,0.000999000999000999
0.216,0.741,2.43222361561981,5.27385706824524,0.4956,0.000999000999000999
0.059,0.114,0.892275977426525,4.0620352132159,0.0051994800519948,0.000999000999000999
0.002,0.095,1.07214434595903,4.11333448893142,0.8217,0.001998001998002
0.565,0.267,1.14797100229056,4.18581534956475,0.0871,0.000999000999000999
0.222,0.534,0.456781869268608,3.3335905163066,0.0007999200079992,0.000999000999000999
0.379,0.963,2.82880505609316,5.02180823585951,0.6152,0.015984015984016
0.035,0.265,-0.823542713689756,3.06044291959433,0.0003999600039996,0.000999000999000999
0.104,0.037,1.16234368199708,4.11445954807557,0.0037996200379962,0.123
0.114,0.859,2.44814982900057,5.11334581423606,0.2302,0.000999000999000999
0.196,0.998,1.13723303750716,4.2313040604554,0.0010998900109989,0.000999000999000999
0.001,0.001,-6.07853612416278,-2.24360737337011,0.2862,0.021978021978022
1,0.055,0.23621413390235,2.47494380147844,0.9939,0.000999000999000999
0.166,0.684,1.70162061981745,4.5347273060518,0.0015998400159984,0.000999000999000999
0.167,0.486,1.62033781153674,4.3816387102307,0.0002999700029997,0.000999000999000999
0.341,0.867,0.393079189475365,3.19550474941207,0.0007999200079992,0.000999000999000999
0.063,0.581,0.695846270702309,4.14129856105579,0.0143,0.000999000999000999
0.19,0.597,0.8876865516086,4.27635808596083,0.0006999300069993,0.000999000999000999
0.152,0.8,0.116282007291517,3.64814944260222,0.0006999300069993,0.000999000999000999
0.002,0.001,-6.66382320090385,-3.73795255310646,0.0017998200179982,0.038961038961039
0.284,0.838,5.34951871744166,8.60461123534207,0.0008999100089991,0.021978021978022
0.019,0.863,1.9182233292344,4.11488646201833,0.589,0.027972027972028
0.073,0.024,1.77165931826303,4.42201931708087,0.0082991700829917,0.001998001998002
0.034,0.148,-3.9813264154278,-0.362456089586832,0.4105,0.326
0.109,0.733,-1.26722086129713,2.9010027774817,0.0012998700129987,0.000999000999000999
0.142,0.413,0.922414235444813,4.13896676435704,0.000999900009999,0.000999000999000999
0.017,0.137,4.96395139233903,7.77900833663006,0.0001999800019998,0.001998001998002
0.157,0.207,0.961558093740184,3.53924602125226,9.99900009999e-05,0.000999000999000999
0.943,1,0.565895764295886,3.60167484356705,0.0008999100089991,0.000999000999000999
0.955,0.574,2.01058547282378,4.3512085672111,0.0033996600339966,0.018981018981019
0.202,0.394,1.97250186058262,4.39866925064765,0.0193,0.001998001998002
0.996,0.677,1.20218013891501,3.67573103886898,0.1093,0.001998001998002
0.249,0.789,0.800880087795936,3.33338273673882,0.1096,0.000999000999000999
