"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.031,0.337,4.48492874076874,7.45317281561381,0.0003999600039996,0.028971028971029
0.001,0.001,0.491742831837491,5.61624502255196,0.9333,0.00999000999000999
0.591,0.998,0.670477587325938,3.78330152101541,0.0028997100289971,0.000999000999000999
0.134,0.569,2.26669582172566,6.00997208381999,0.0706,0.000999000999000999
0.165,0.711,1.19952435730176,4.18948634141909,0.0497,0.000999000999000999
0.058,0.095,2.2867662039033,4.65746723785403,0.7403,0.000999000999000999
0.001,0.002,0.529713778391181,3.60590274945707,0.3456,0.046953046953047
0.216,0.197,2.2853968584724,5.10798642083936,0.2734,0.000999000999000999
0.019,0.001,-5.33795764510111,-1.88114550185225,0.0011998800119988,0.0699300699300699
0.001,0.011,-7.25319612011704,-3.41941262046112,0.1267,0.379
0.385,0.385,1.87669607005041,4.41651459457698,0.2597,0.000999000999000999
0.192,0.142,1.56361158231188,4.6293746879195,0.0184,0.000999000999000999
0.015,0.074,1.50291477208082,4.6147242003323,0.8603,0.000999000999000999
0.999,0.218,-0.524760118361844,1.96086561386566,0.918,0.00899100899100899
0.847,0.207,2.03876126459826,4.72561778828007,0.9796,0.000999000999000999
0.928,0.269,1.86968651204258,4.09218394921209,0.0001999800019998,0.000999000999000999
0.043,0.335,0.0476792712780576,3.04455931982162,0.9695,0.000999000999000999
0.062,0.105,1.45321556731061,4.49739047074809,0.0017998200179982,0.000999000999000999
0.075,0.002,0.183403612454334,2.93059937836111,0.0007999200079992,0.000999000999000999
0.13,0.546,0.189746161198704,3.25203478596504,0.0006999300069993,0.000999000999000999
0.167,0.743,0.837687379375073,3.85445725010173,0.1151,0.000999000999000999
0.014,0.042,1.53843407799309,4.51818616496513,0.4766,0.000999000999000999
0.506,0.237,1.73760244801646,4.76982466003184,0.8265,0.000999000999000999
0.086,0.064,2.26015875976604,4.52720333480941,0.0004999500049995,0.000999000999000999
0.296,0.542,1.50329795086908,4.39590067399906,0.0002999700029997,0.000999000999000999
1,0.046,1.87101533384593,5.22810752901921,0.2353,0.000999000999000999
0.163,0.32,1.09265480622985,4.97155339398951,0.0725,0.000999000999000999
0.118,0.09,0.400577790473192,4.58717072646164,0.0035996400359964,0.013986013986014
0.067,0.521,1.84677159927246,4.56431515925005,0.0148,0.000999000999000999
0.156,0.723,0.240875097514131,3.98044700058939,0.0252,0.000999000999000999
0.077,0.599,-0.847560111239867,1.08385051726402,0.3449,0.000999000999000999
0.116,0.478,1.12030744970658,4.77258993821832,0.1749,0.000999000999000999
0.353,1,1.29574478683041,4.42700907439042,0.0623,0.000999000999000999
0.997,0.444,0.637315604712654,3.69448158076426,0.0007999200079992,0.000999000999000999
0.044,0.829,4.22943009251538,6.9283555989273,0.0007999200079992,0.00599400599400599
0.233,0.46,2.15496227850114,5.56053287708637,0.1518,0.000999000999000999
0.058,0.176,2.59614958613797,5.8426380868896,0.0758,0.000999000999000999
0.259,0.238,1.5481584597842,3.78020873528847,0.0552,0.000999000999000999
0.03,0.624,1.21719964798763,4.53378833216,0.0135,0.000999000999000999
0.001,0.001,-2.66107851670753,1.16224349807744,0.1854,0.042957042957043
0.087,0.701,1.08959228580973,4.71653458907753,0.7556,0.000999000999000999
0.301,0.474,1.24231248597042,3.64743767416873,0.0034996500349965,0.000999000999000999
0.326,0.951,0.399271025928178,3.94382606000296,0.0362,0.000999000999000999
0.001,0.214,-7.94965279643821,-2.41494157326877,0.7764,0.558
0.013,0.003,-4.02166320130448,0.229255701754202,0.002999700029997,0.265
0.172,0.994,0.919207777903336,3.63226008429644,0.0010998900109989,0.001998001998002
0.23,0.261,1.28308688407966,3.73485314930764,0.0063993600639936,0.000999000999000999
0.242,0.978,1.45790484189085,4.29927950654122,0.000999900009999,0.000999000999000999
0.122,0.623,0.665890522633033,3.84697878464137,0.0125,0.000999000999000999
0.033,0.453,1.39903708456803,4.68422295608429,0.9911,0.364
0.007,0.002,-13.6364779165876,-10.0136322275706,0.0004999500049995,0.012987012987013
0.802,0.783,1.62927862500181,3.91841898047825,0.0722,0.026973026973027
0.489,0.665,-0.371410728676002,3.03413525730405,0.4593,0.001998001998002
0.037,0.528,0.235656761425647,3.96007757177995,0.000999900009999,0.002997002997003
0.193,0.845,1.22858739602216,3.75399351476128,0.0031996800319968,0.010989010989011
0.001,0.001,-0.530631038369757,3.95595288157366,0.4199,0.000999000999000999
0.105,0.958,1.69245428703021,4.51360550342918,0.0040995900409959,0.001998001998002
0.183,0.988,1.9311596621208,4.75512122184102,0.0915,0.000999000999000999
0.991,0.271,4.23474045458988,7.62078106269135,9.99900009999e-05,0.000999000999000999
0.168,0.926,1.93729855509554,4.2745833118381,0.0001999800019998,0.000999000999000999
0.956,0.566,0.99614517823432,3.14540168128301,0.0013998600139986,0.000999000999000999
0.572,0.545,0.630212977879524,3.57538875668259,0.0191,0.000999000999000999
0.246,0.874,-0.506652966818025,2.97642834474725,0.9167,0.000999000999000999
0.121,0.495,0.451163300274485,3.02414966308373,0.8175,0.000999000999000999
0.306,0.398,-0.0640131172847056,4.81941035522427,0.5245,0.000999000999000999
0.14,0.567,0.825078787011229,4.80662587271909,0.0458,0.000999000999000999
0.248,0.872,0.0919230547817572,3.01643888659416,0.0071992800719928,0.000999000999000999
1,0.041,0.898355750362186,3.85315722417933,0.0007999200079992,0.000999000999000999
0.109,0.61,0.980230783900922,4.23156886567017,0.0104,0.000999000999000999
0.175,0.532,1.11458895841399,5.30383760755045,0.8971,0.000999000999000999
0.078,0.278,0.955499580715858,4.68601347074079,0.1362,0.000999000999000999
0.016,0.329,2.12822156182234,5.03728587292867,0.7852,0.000999000999000999
0.247,0.439,1.28180312757401,3.55222275210209,0.0036996300369963,0.000999000999000999
0.284,0.91,2.05046975706874,4.54479489376507,0.3061,0.000999000999000999
0.149,0.025,1.02635852622211,3.48668804425476,9.99900009999e-05,0.000999000999000999
0.07,0.736,-0.472318466729287,3.18027730582957,0.0054994500549945,0.000999000999000999
0.123,0.297,1.61168058924871,4.28049052703542,0.0576,0.000999000999000999
0.001,0.001,-5.61382874522758,-1.6870846644546,0.8874,0.771
0.252,0.321,0.719261166994992,3.99365678311856,0.00999900009999,0.000999000999000999
0.124,0.597,1.50867735057933,4.25368873872004,0.0407,0.002997002997003
0.172,0.13,1.25803000519165,4.03210834395546,0.0754,0.000999000999000999
0.009,0.071,-0.633158804956184,3.00252285394369,0.0234,0.000999000999000999
0.001,0.026,-15.6170528794881,-11.0093418564286,0.0005999400059994,0.000999000999000999
0.357,0.556,0.482530121151981,4.02784627679699,0.9228,0.000999000999000999
0.669,0.241,1.98512173639833,5.59484750735611,0.325,0.001998001998002
0.001,0.002,-1.64641383477984,2.26021190386554,0.0080991900809919,0.000999000999000999
0.001,0.016,0.324314762652432,3.99749066482687,0.0262,0.000999000999000999
0.219,0.768,0.136948869943079,2.76152470128331,0.9973,0.002997002997003
0.794,0.812,1.8236837901782,4.46259033845526,0.2669,0.000999000999000999
0.235,0.992,1.58194245514565,4.17544002622813,0.0131,0.000999000999000999
0.005,0.033,1.52261186790454,4.53247776051017,9.99900009999e-05,0.000999000999000999
0.664,0.038,2.2970137150356,5.13857483301893,0.0007999200079992,0.000999000999000999
0.001,0.279,-1.05890723590331,2.44417032484189,0.0105,0.000999000999000999
0.3,0.411,1.12819681357981,3.9687339983917,0.0458,0.000999000999000999
0.001,0.001,1.54730749360707,4.56686336642415,0.001999800019998,0.001998001998002
0.038,0.019,1.81571161477906,4.60708848881726,0.1004,0.000999000999000999
0.001,0.002,0.383284312016106,4.12555091472353,0.0030996900309969,0.01998001998002
0.001,0.008,0.977517951723185,4.98828348278795,0.9233,0.001998001998002
0.263,0.176,-1.11137804013528,2.12269779337492,0.0008999100089991,0.000999000999000999
0.842,0.986,0.522521049247246,3.64833623820588,0.0003999600039996,0.000999000999000999
0.231,0.25,1.69442088176178,4.05471415493088,0.5036,0.000999000999000999
0.149,0.319,-0.201037197070214,3.47706787621754,0.0054994500549945,0.000999000999000999
0.076,0.819,2.54999911534699,5.17638898971543,0.2353,0.000999000999000999
0.157,0.773,0.480840401134063,3.32160417983029,0.4178,0.000999000999000999
0.126,0.321,0.307487328148675,3.36112046825422,0.1247,0.000999000999000999
0.382,0.456,1.41951875773893,5.69703159396028,0.2037,0.001998001998002
0.013,0.448,0.8409912651459,3.85754428901566,0.0257,0.000999000999000999
0.071,0.17,0.458632122474068,3.92067795266433,0.0241,0.000999000999000999
0.006,0.001,-9.09112383980713,-5.10159159987515,0.3391,0.252
