"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ccmm",1,0,0,4,0,0,0
"ldm",1,0,0,4,0,0,0
"microbvs",1,0,4,4,0,0,0
"medzim",1,0,1,4,0,0,0
"npem",1,0,0,4,0,0,0
"ccmm",2,0,0,4,0,0,0
"ldm",2,0,0,4,0,0,0
"microbvs",2,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",2,0,0,4,0,0,0
"npem",2,0,0,4,0,0,0
"ccmm",3,0,1,4,0,0,0
"ldm",3,0,1,4,0,0,0
"microbvs",3,2,8,2,0.2,0.5,0.285714285714286
"medzim",3,0,1,4,0,0,0
"npem",3,0,0,4,0,0,0
"ccmm",4,0,0,4,0,0,0
"ldm",4,0,1,4,0,0,0
"microbvs",4,1,12,3,0.0769230769230769,0.25,0.117647058823529
"medzim",4,0,0,4,0,0,0
"npem",4,0,0,4,0,0,0
"ccmm",5,0,0,4,0,0,0
"ldm",5,0,1,4,0,0,0
"microbvs",5,1,5,3,0.166666666666667,0.25,0.2
"medzim",5,1,0,3,1,0.25,0.4
"npem",5,0,1,4,0,0,0
"ccmm",6,0,0,4,0,0,0
"ldm",6,0,0,4,0,0,0
"microbvs",6,0,4,4,0,0,0
"medzim",6,0,0,4,0,0,0
"npem",6,0,0,4,0,0,0
"ccmm",7,0,0,4,0,0,0
"ldm",7,0,0,4,0,0,0
"microbvs",7,1,3,3,0.25,0.25,0.25
"medzim",7,1,0,3,1,0.25,0.4
"npem",7,0,0,4,0,0,0
"ccmm",8,0,0,4,0,0,0
"ldm",8,0,0,4,0,0,0
"microbvs",8,2,8,2,0.2,0.5,0.285714285714286
"medzim",8,1,0,3,1,0.25,0.4
"npem",8,0,0,4,0,0,0
"ccmm",9,0,0,4,0,0,0
"ldm",9,0,0,4,0,0,0
"microbvs",9,1,3,3,0.25,0.25,0.25
"medzim",9,0,0,4,0,0,0
"npem",9,0,0,4,0,0,0
"ccmm",10,0,0,4,0,0,0
"ldm",10,0,0,4,0,0,0
"microbvs",10,1,4,3,0.2,0.25,0.222222222222222
"medzim",10,0,0,4,0,0,0
"npem",10,0,0,4,0,0,0
"ccmm",11,0,0,4,0,0,0
"ldm",11,0,0,4,0,0,0
"microbvs",11,0,4,4,0,0,0
"medzim",11,0,0,4,0,0,0
"npem",11,0,1,4,0,0,0
"ccmm",12,0,0,4,0,0,0
"ldm",12,0,0,4,0,0,0
"microbvs",12,0,4,4,0,0,0
"medzim",12,0,0,4,0,0,0
"npem",12,0,0,4,0,0,0
"ccmm",13,0,0,4,0,0,0
"ldm",13,0,0,4,0,0,0
"microbvs",13,2,2,2,0.5,0.5,0.5
"medzim",13,0,0,4,0,0,0
"npem",13,0,0,4,0,0,0
"ccmm",14,0,0,4,0,0,0
"ldm",14,0,1,4,0,0,0
"microbvs",14,0,4,4,0,0,0
"medzim",14,0,0,4,0,0,0
"npem",14,0,0,4,0,0,0
"ccmm",15,0,0,4,0,0,0
"ldm",15,0,0,4,0,0,0
"microbvs",15,0,4,4,0,0,0
"medzim",15,0,1,4,0,0,0
"npem",15,0,0,4,0,0,0
"ccmm",16,0,0,4,0,0,0
"ldm",16,0,1,4,0,0,0
"microbvs",16,2,8,2,0.2,0.5,0.285714285714286
"medzim",16,0,0,4,0,0,0
"npem",16,0,0,4,0,0,0
"ccmm",17,1,0,3,1,0.25,0.4
"ldm",17,0,1,4,0,0,0
"hima",17,0,0,4,0,0,0
"microbvs",17,1,4,3,0.2,0.25,0.222222222222222
"medzim",17,0,0,4,0,0,0
"npem",17,0,0,4,0,0,0
"ccmm",18,0,0,4,0,0,0
"ldm",18,0,1,4,0,0,0
"microbvs",18,1,9,3,0.1,0.25,0.142857142857143
"medzim",18,0,1,4,0,0,0
"npem",18,0,0,4,0,0,0
"ccmm",19,0,0,4,0,0,0
"ldm",19,0,0,4,0,0,0
"microbvs",19,2,2,2,0.5,0.5,0.5
"medzim",19,0,0,4,0,0,0
"npem",19,0,0,4,0,0,0
"ccmm",20,0,0,4,0,0,0
"ldm",20,0,0,4,0,0,0
"microbvs",20,1,3,3,0.25,0.25,0.25
"medzim",20,0,0,4,0,0,0
"npem",20,0,0,4,0,0,0
"ccmm",21,0,0,4,0,0,0
"ldm",21,0,0,4,0,0,0
"microbvs",21,0,4,4,0,0,0
"medzim",21,0,0,4,0,0,0
"npem",21,0,0,4,0,0,0
"ccmm",22,0,1,4,0,0,0
"ldm",22,0,0,4,0,0,0
"hima",22,0,0,4,0,0,0
"microbvs",22,3,15,1,0.166666666666667,0.75,0.272727272727273
"medzim",22,0,0,4,0,0,0
"npem",22,0,0,4,0,0,0
"ccmm",23,1,0,3,1,0.25,0.4
"ldm",23,0,0,4,0,0,0
"microbvs",23,3,13,1,0.1875,0.75,0.3
"medzim",23,0,0,4,0,0,0
"npem",23,0,0,4,0,0,0
"ccmm",24,0,0,4,0,0,0
"ldm",24,0,0,4,0,0,0
"microbvs",24,0,4,4,0,0,0
"medzim",24,0,0,4,0,0,0
"npem",24,0,0,4,0,0,0
"ccmm",25,0,1,4,0,0,0
"ldm",25,0,0,4,0,0,0
"hima",25,0,0,4,0,0,0
"microbvs",25,2,6,2,0.25,0.5,0.333333333333333
"medzim",25,0,0,4,0,0,0
"npem",25,0,0,4,0,0,0
"ccmm",26,0,1,4,0,0,0
"ldm",26,0,1,4,0,0,0
"microbvs",26,0,4,4,0,0,0
"medzim",26,0,0,4,0,0,0
"npem",26,0,0,4,0,0,0
"ccmm",27,0,0,4,0,0,0
"ldm",27,0,0,4,0,0,0
"microbvs",27,1,3,3,0.25,0.25,0.25
"medzim",27,0,0,4,0,0,0
"npem",27,0,1,4,0,0,0
"ccmm",28,1,0,3,1,0.25,0.4
"ldm",28,0,0,4,0,0,0
"hima",28,0,0,4,0,0,0
"microbvs",28,0,1,4,0,0,0
"medzim",28,0,1,4,0,0,0
"npem",28,0,0,4,0,0,0
"ccmm",29,0,0,4,0,0,0
"ldm",29,0,0,4,0,0,0
"microbvs",29,0,4,4,0,0,0
"medzim",29,0,0,4,0,0,0
"npem",29,0,0,4,0,0,0
"ccmm",30,0,0,4,0,0,0
"ldm",30,0,0,4,0,0,0
"microbvs",30,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",30,0,0,4,0,0,0
"npem",30,0,0,4,0,0,0
"ccmm",31,1,0,3,1,0.25,0.4
"ldm",31,1,0,3,1,0.25,0.4
"microbvs",31,0,4,4,0,0,0
"medzim",31,0,2,4,0,0,0
"npem",31,0,0,4,0,0,0
"ccmm",32,0,0,4,0,0,0
"ldm",32,0,0,4,0,0,0
"microbvs",32,1,3,3,0.25,0.25,0.25
"medzim",32,0,0,4,0,0,0
"npem",32,0,0,4,0,0,0
"ccmm",33,0,0,4,0,0,0
"ldm",33,0,0,4,0,0,0
"microbvs",33,0,4,4,0,0,0
"medzim",33,0,0,4,0,0,0
"npem",33,0,0,4,0,0,0
"ccmm",34,0,0,4,0,0,0
"ldm",34,0,1,4,0,0,0
"microbvs",34,1,3,3,0.25,0.25,0.25
"medzim",34,0,2,4,0,0,0
