"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.138,0.539,0.358828668055963,7.46341667522231,0.2381,0.204
0.706,0.876,-1.72662898743571,2.13938371947645,1.012,0.8775
0.001,0.054,1.48994494458272,5.69528864147736,0.4052,0.353
1,0.414,-0.000167527420124503,10.9791145162107,0.78685,0.49125
0.951,0.939,-1.65012681360905,3.37618992473919,0.971,0.834285714285714
1,0.78,-3.81086472471286,1.92772585312502,0.82505,0.67
0.926,0.599,-0.469213822717654,5.98852811435926,0.8169,0.59
1,0.583,-4.83234075328815,0.691352586139788,0.77475,0.472
0.273,0.886,2.14696833918709,5.78898948316597,0.177,0.00899100899100899
0.002,0.42,0.714305516471155,6.0367138816959,0.8758,0.607
0.281,0.029,1.13105078564993,5.60182694769944,0.0798,0.0759240759240759
0.928,0.199,-1.72150681153474,5.34962893164077,0.8075,0.542
0.222,0.786,2.34740928909294,6.2340768647444,0.3045,0.146
0.404,0.844,-1.23494431427691,4.44107381264229,0.99415,0.855
1,0.052,3.17696420347238,9.40102711983242,0.9127,0.603
0.566,0.779,-0.948141654908801,6.18490224551072,0.87685,0.775
0.101,0.126,-24.3634241292384,-16.8560037782605,0.0526,0.024975024975025
0.924,0.96,-0.378598455389653,8.13657607222412,0.81795,0.544
0.874,0.583,1.25842699528257,6.61860099630934,0.934,0.728
0.587,0.892,-2.57150712651342,3.43372190048108,1.0152,0.87
0.904,0.262,2.65921829794947,8.85993074274108,0.5225,0.536
0.398,0.782,0.90477542192241,6.40543302484903,0.8981,0.754
0.589,0.941,-6.71297812840464,2.63548600583973,1.0188,0.9675
0.939,0.965,-5.0533621146012,2.74117664027511,1.0179,0.97
0.997,0.526,9.1538176390124,15.0811174349034,0.3427,0.302
0.067,0.397,5.79985051346259,11.8155722121642,0.2176,0.040959040959041
0.59,0.961,-2.71959928576968,4.00680667756185,1.0265,0.945
0.93,0.641,6.38836091196729,12.2057720908298,0.5217,0.041958041958042
0.688,0.757,-2.85839652194071,3.35267577846209,0.9994,0.855
0.132,0.947,4.03177859614274,9.22550494261283,0.9047,0.631
0.511,0.918,9.60325398895319,16.5736316184483,0.6568,0.502
0.233,0.191,0.563850592599018,5.27215504903869,0.5784,0.486
0.219,0.989,2.67452863287787,6.80128336401858,0.3941,0.382
0.999,0.398,1.65678369283994,6.41222233120612,0.7548,0.373
0.259,0.678,-0.823568167491929,4.06095564538171,0.95925,0.8825
0.965,0.467,-0.257147145979277,5.5222689329494,0.3722,0.00899100899100899
0.198,0.066,6.79750878272059,12.483251601967,0.5864,0.25
0.954,0.805,-1.54914184089377,3.86667242399861,0.8718,0.685
1,0.82,-0.566909473746703,7.13315577459828,0.8316,0.61875
0.995,0.571,-6.55383723989032,0.525913406381388,0.8168,0.588
0.13,0.528,-1.27132900974057,8.8686054582622,0.394,0.33
0.179,0.796,3.53479900514924,7.8489442115447,0.2289,0.0719280719280719
0.14,0.262,-0.340413321128067,6.1541267625525,0.304,0.145
0.389,0.211,10.2037210322515,16.3242697499082,0.0721,0.155
0.03,0.001,-25.8915067103669,-19.2126055877976,0.0123,0.181
1,0.751,-5.03902216758674,1.03341125978441,0.90465,0.72
0.246,0.01,-25.9176962974119,-18.2590185007505,0.0010998900109989,0.037962037962038
0.354,0.302,0.682489476362993,4.63091013548613,0.9447,0.913
0.102,0.48,-0.269407648219774,5.63969244589994,0.32625,0.175
0.991,0.408,0.691764560461871,5.60944304146215,0.4846,0.322
0.951,0.62,2.10411478911576,6.8544367685238,0.8801,0.5
0.415,0.005,-0.260430067320654,2.86270122132036,0.996,0.247
0.945,0.96,-2.10368601148664,2.66349710075077,0.955,0.61
1,0.78,-3.81086472471286,1.92772585312502,0.82505,0.67
0.926,0.599,-0.469213822717654,5.98852811435926,0.8169,0.59
1,0.583,-4.83234075328815,0.691352586139788,0.77475,0.472
0.273,0.886,2.14696833918709,5.78898948316597,0.177,0.00899100899100899
0.002,0.42,0.714305516471155,6.0367138816959,0.8758,0.607
0.281,0.029,1.13105078564993,5.60182694769944,0.0798,0.0759240759240759
0.928,0.199,-1.72150681153474,5.34962893164077,0.8075,0.542
0.222,0.786,2.34740928909294,6.2340768647444,0.3045,0.146
0.404,0.844,-1.23494431427691,4.44107381264229,0.99415,0.855
1,0.052,3.17696420347238,9.40102711983242,0.9127,0.603
0.566,0.779,-0.948141654908801,6.18490224551072,0.87685,0.775
0.101,0.126,-24.3634241292384,-16.8560037782605,0.0526,0.024975024975025
0.924,0.96,-0.378598455389653,8.13657607222412,0.81795,0.544
0.874,0.583,1.25842699528257,6.61860099630934,0.934,0.728
0.587,0.892,-2.57150712651342,3.43372190048108,1.0152,0.87
0.904,0.262,2.65921829794947,8.85993074274108,0.5225,0.536
0.398,0.782,0.90477542192241,6.40543302484903,0.8981,0.754
0.589,0.941,-6.71297812840464,2.63548600583973,1.0188,0.9675
0.939,0.965,-5.0533621146012,2.74117664027511,1.0179,0.97
0.997,0.526,9.1538176390124,15.0811174349034,0.3427,0.302
0.067,0.397,5.79985051346259,11.8155722121642,0.2176,0.040959040959041
0.59,0.961,-2.71959928576968,4.00680667756185,1.0265,0.945
0.93,0.641,6.38836091196729,12.2057720908298,0.5217,0.041958041958042
0.688,0.757,-2.85839652194071,3.35267577846209,0.9994,0.855
0.132,0.947,4.03177859614274,9.22550494261283,0.9047,0.631
0.511,0.918,9.60325398895319,16.5736316184483,0.6568,0.502
0.233,0.191,0.563850592599018,5.27215504903869,0.5784,0.486
0.219,0.989,2.67452863287787,6.80128336401858,0.3941,0.382
