"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.649,0.802,-0.801217537788611,1.53344819423189,1,0.74
0.986,0.24,-1.62639812540478,3.06700132353506,0.9999,0.9575
0.736,0.716,-1.41059736535323,2.3395654704968,0.9823,0.97
0.865,0.982,-4.49226448747091,0.210723488894855,1,1
0.695,0.98,-0.315155842660849,3.98630023800901,0.6935,0.0759240759240759
0.677,0.99,-2.30609453978803,2.56276412610488,0.7508,0.583
1,0.717,-0.426990599514442,3.03627447426713,1,0.873333333333333
0.986,0.997,-0.769144219470929,3.07220780134177,1,0.745
0.808,0.782,-0.532889752083377,2.56195051115448,0.8915,0.613
0.917,0.968,-0.605553202099857,2.42182154997393,0.9935,0.93
0.921,0.882,0.552113676266754,5.53439371408352,0.8194,0.943333333333333
0.963,0.98,-0.739441239227862,1.37724968702339,0.9991,0.8
0.542,0.639,-0.927565255239777,2.42102325636411,0.7339,0.818571428571429
0.763,0.971,-0.328164698661819,2.94178812097724,0.9945,0.94
0.314,0.557,-1.9994513474129,4.74291294985838,0.9937,0.936
0.522,0.791,-0.397705860568971,3.10256343492169,0.9944,0.892
0.369,0.552,-1.28331971969953,2.89407367222409,0.3136,0.6975
0.502,0.966,-1.01297712780244,1.92729621970466,1,0.482
0.963,0.972,-0.763364919019965,3.72440821595578,0.8153,0.766666666666667
0.367,0.731,-2.07492505751456,0.53908217711667,0.8699,0.94
0.636,0.803,-0.162159013487561,3.77329817788315,0.9556,0.106
0.68,0.784,-0.844404806327225,2.85906823079233,1,0.95
0.153,0.266,-0.520360801139072,4.26478345160009,0.5153,0.675
0.824,0.699,-0.914935727270408,3.02894599760738,0.7794,0.823333333333333
0.864,0.961,-1.76495801926909,2.66315790046494,0.6926,0.94
0.319,0.994,-4.33281605489836,0.0665470552357216,0.7833,0.408
0.947,0.956,-1.14567888876779,3.23750662205834,0.9988,0.98
0.772,0.952,-0.532928146811604,3.26986253078592,0.9991,0.883333333333333
0.762,0.595,-5.07916605113321,0.367765738247514,0.7358,0.455
0.945,0.575,-1.8633631374904,1.24839910467288,0.9283,0.82
0.986,0.62,-1.03570964686874,3.14616189049447,0.9713,0.975
0.837,0.5,-0.500323176220451,2.02367987534238,0.9961,0.953333333333333
0.561,0.596,-4.0399655744215,0.986890199196916,1,0.602
0.99,0.653,0.227334592508086,3.85787584673016,0.6426,0.898
0.449,0.452,-0.871352877807194,5.97449064947674,0.6434,0.319
0.621,0.915,-1.35398486544544,1.4381150613569,0.9987,0.975
0.576,0.993,-0.984027865844982,1.16160880857146,1,0.6775
0.575,1,-1.09070451628957,1.79866651697308,0.9671,0.696666666666667
0.747,0.921,-1.56632432490306,2.75210882031058,0.9862,0.855
0.821,0.614,-1.06116027209278,3.79559092384511,1,0.724
0.543,0.807,-0.451583666462496,1.76651751268738,0.9961,0.682857142857143
0.952,0.732,-0.312795928939045,3.23396913732466,0.9076,0.275
0.657,0.766,-1.07884987638719,2.45892471133625,0.9924,0.99
0.693,0.99,-1.56899078783084,2.92716701011621,0.7922,0.605
0.512,0.552,-0.740232341769441,3.60639732753122,0.9784,0.53125
0.968,0.968,-0.710963788564643,3.47559910011863,0.9848,0.49125
0.978,0.983,-1.2546085652406,2.05789456119438,0.9997,0.915
0.627,0.94,-0.664676242928398,2.84117491539681,0.9975,0.875
0.508,0.421,-0.726845717599324,4.23831523991286,0.7902,0.497
0.99,0.612,-0.853496182257319,2.27851437322443,0.9964,0.5075
0.805,0.944,-1.13496143569459,3.42770524097965,0.9991,0.46625
0.839,0.903,-0.971510165553306,3.05930163407948,0.9743,0.373
0.965,0.704,-1.02100957339033,2.67535013794175,0.9994,0.912
0.621,0.921,-1.32793913884754,2.4291894632469,0.9948,0.796
0.454,0.576,-0.404210704827457,3.58091097784933,0.8061,0.0759240759240759
