"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.144,0.429,-2.24959109908916,4.8670041217001,0.2968,0.048951048951049
0.323,0.343,1.22739529484113,4.65251478751799,0.6065,0.0669330669330669
0.188,0.29,1.8863335282363,5.51600517744697,0.7452,0.000999000999000999
0.113,0.304,-3.73380550289809,2.87269584033806,0.018,0.021978021978022
0.868,0.378,-1.8049645997711,4.61953010462676,0.4552,0.122
0.414,0.078,0.75465207103022,4.85235551432538,0.9433,0.164
0.114,0.43,1.42268905759336,5.95742885035259,0.9742,0.786
0.245,0.483,0.917934451138439,4.968304419257,1,0.636
0.265,0.806,0.125296373145712,3.92587894453403,0.0925,0.050949050949051
0.001,0.011,0.443961111325604,4.72680231579787,0.0004999500049995,0.000999000999000999
0.241,0.969,0.650866101274849,5.10665321921944,0.5812,0.015984015984016
0.023,0.134,-4.72283456750462,0.6121239612718,9.99900009999e-05,0.00599400599400599
0.281,0.983,0.918133288341199,5.14715699756143,0.2727,0.016983016983017
0.166,0.698,1.34372861749217,5.63533062763766,0.9871,0.146
0.999,0.263,0.663590608164611,6.10446205664129,0.5794,0.00699300699300699
0.194,0.484,-1.3524286728983,3.14693075969141,0.6976,0.591
0.079,0.217,-4.77479842518573,0.938147538756117,0.716,0.00899100899100899
0.043,0.56,0.542115079560615,6.70692221692003,0.9995,0.833
0.987,0.283,0.251815344532661,5.8665311742443,0.9469,0.861
0.197,0.349,-0.627950820271371,4.82420788012188,0.9986,0.237
0.069,0.743,-3.71207197132949,2.2046687783087,0.2564,0.013986013986014
0.319,0.52,1.61758090628045,7.1186319792365,0.8719,0.722
0.004,0.001,-6.40681044822519,-0.0934240261763209,0.1086,0.000999000999000999
0.131,0.096,-4.99408427510372,0.790421348928767,0.9938,0.000999000999000999
0.268,0.577,6.8097555695069,13.5416430987084,0.0197,0.020979020979021
0.144,0.556,1.34609919486109,7.37915436768979,0.3519,0.0659340659340659
0.576,0.997,0.428281442600569,6.80881688995645,0.9407,0.753
0.133,0.784,0.499674926436479,5.53962758795117,0.9703,0.172
0.39,0.58,0.368588869556512,5.3285970930343,0.9136,0.386
0.317,1,-0.957422065732971,3.83890728437345,0.5734,0.1
0.227,0.97,2.02697232081499,8.46335325500847,0.807,0.183
