"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.627,0.735,-0.715016964125384,1.41173597944879,0.9949,0.916666666666667
0.973,0.228,-2.33797749367879,2.1172873899209,0.9528,0.905
0.743,0.689,-1.46730931576496,2.83388119954255,1,0.428
0.875,0.985,-3.7492157280664,0.778921653238749,0.9974,0.93
0.689,0.967,-2.14904710509814,2.21679319604787,0.8534,0.392
0.6,0.984,-1.67318742655025,3.38543980620351,0.9996,0.98
1,0.704,-1.71390371676594,1.60253756416221,0.9986,0.563
0.991,0.995,-0.831766570610016,3.08199010932234,0.9999,0.945
0.851,0.732,-0.723161219045762,2.2948205262652,0.9999,0.915
0.877,0.962,-0.0363407740075996,3.01098781378525,0.9899,0.995
0.917,0.861,-1.45513065095102,3.06817297588031,0.996,0.682
0.919,0.984,-0.399256977222123,1.88382067151457,1,0.96
0.55,0.635,-0.514944402183454,2.88488259710565,0.9991,0.421666666666667
0.726,0.965,0.122568129261169,3.77211300712493,0.0466,0.34
0.296,0.471,-0.700740884923998,6.34437198074855,0.9963,0.666666666666667
0.555,0.797,-0.33084002971394,2.93360134673235,0.9988,0.83
0.359,0.521,-1.33716024145652,2.50737434086843,0.9948,0.335714285714286
0.447,0.958,-1.00691648551631,1.84028552070391,0.9855,0.995
0.927,0.925,-2.05960116062866,2.46456384419775,0.9151,0.875
0.335,0.69,-2.39190178331718,0.468933578475944,0.9997,0.975
0.692,0.869,-1.12064439935597,2.22028871668736,1,0.955
0.744,0.806,-0.907932493653964,2.62765151815614,1,0.927
0.171,0.265,-0.396370502774152,4.7542971579708,0.1373,0.444
0.827,0.697,-0.588066164567632,2.91154492546066,0.9979,0.72
0.877,0.956,-1.43240383314487,3.53517214755461,0.9956,0.84
0.319,1,-4.63157253756027,-0.0344764692579593,0.9961,0.8625
0.943,0.947,-2.30402788262755,2.50405752023972,0.9103,0.78
0.803,0.923,-1.67181655994341,2.07446117229313,0.7257,0.767
0.694,0.583,-4.49379352752293,0.690932355863176,0.9831,0.549
0.943,0.564,-3.95457157000904,-0.18602477567077,0.9468,0.51
0.987,0.627,-0.521025100038564,4.09403795571025,1,0.995
0.836,0.503,-1.04390770499793,1.2945688031204,0.7897,0.485
0.522,0.643,-2.23219109628768,1.79523181168078,1,0.94
0.984,0.626,-1.95871348993173,1.76257477169286,0.3402,0.965
0.443,0.389,-1.93317214925231,3.79038664072715,0.9995,0.85
0.608,0.917,-0.55172454537661,2.78735209752805,0.7228,0.5375
0.667,0.879,-0.611724141534642,1.27315171458173,0.9962,0.713333333333333
0.607,1,-1.07830824394201,1.59526164864109,1,1
0.744,0.897,-2.3796195995435,2.10871748930151,0.9903,0.77
0.737,0.639,-1.0517591027804,3.56645717558099,0.9998,0.965
0.518,0.777,-0.203490347981707,1.96339958622166,1,0.975
0.958,0.752,-1.20496579575119,2.25222341193028,0.9812,0.886
0.64,0.762,-0.466958925705709,3.23781865046067,1,0.97
0.656,0.991,-1.22145457387498,3.43288910642142,0.9425,0.758571428571429
0.528,0.567,-1.31377026297058,3.03682837858649,0.9728,0.97
0.953,0.943,-1.56910234324673,2.15333912498487,1,0.926
