"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.104,0.579,-3.81812177150973,4.67426873689461,0.0018998100189981,0.001998001998002
0.367,0.419,-0.514901396516494,4.44209613887859,0.0006999300069993,0.382
0.217,0.448,-0.239731447748554,5.25329406384736,0.0028997100289971,0.0929070929070929
0.098,0.383,1.91465734571259,8.74029515304951,0.0025997400259974,0.001998001998002
0.904,0.339,1.17129360021143,6.64216111279076,0.0030996900309969,0.18
0.28,0.049,1.88518158836824,7.1942867054099,0.0052994700529947,0.023976023976024
0.09,0.09,3.19006576412918,10.2587544112238,0.1858,0.643
0.446,0.268,3.35118514892953,8.08030204626636,0.0057994200579942,0.422
0.293,0.583,1.02347320151105,5.47714184560585,0.0016998300169983,0.010989010989011
0.001,0.262,1.03445594047984,5.52332558374454,0.9815,0.000999000999000999
0.323,0.38,-0.504091071305266,6.52021289642107,0.0013998600139986,0.002997002997003
0.024,0.13,-20.3197185283368,-13.0004779478666,9.99900009999e-05,0.000999000999000999
0.23,0.506,-0.789346809180286,6.70422086624832,0.0002999700029997,0.000999000999000999
0.282,0.868,1.10605232083085,6.87885037448289,0.000999900009999,0.051948051948052
0.992,0.298,0.851015310852091,7.7430900685649,0.0002999700029997,0.032967032967033
0.826,0.478,0.694320715612406,7.07111400322884,0.0259,0.626
0.115,0.488,-21.3057041065979,-14.0493919230023,0.0003999600039996,0.000999000999000999
0.057,0.771,-2.84461393489364,5.68563576831816,0.0021997800219978,0.022977022977023
0.927,0.139,-0.142163261183528,6.60900968821939,0.0014998500149985,0.001998001998002
0.036,0.243,1.84776820585328,8.54445518998469,0.006999300069993,0.388
0.063,0.847,2.25857633194812,8.89789385035517,0.0085991400859914,0.002997002997003
0.358,0.787,-1.67799731565966,10.7159164315831,0.0030996900309969,0.239
0.005,0.001,-19.434421178235,-11.4664950439662,0.0002999700029997,0.000999000999000999
0.132,0.244,-21.9580273883962,-15.7852948064524,0.0028997100289971,0.000999000999000999
0.353,0.996,1.06691714354851,11.3673664332652,0.0011998800119988,0.00899100899100899
0.223,0.636,3.78484128822799,10.2335755306396,0.0006999300069993,0.025974025974026
0.308,0.927,-0.245814817613316,8.83794197188797,0.000999900009999,0.0939060939060939
0.121,0.766,5.69280878880012,11.0394913946751,0.0020997900209979,0.033966033966034
0.497,0.737,1.79927971696129,7.68607887419662,0.001999800019998,0.214
0.37,0.951,3.40606606379754,8.96094845860651,0.0027997200279972,0.371
0.37,0.988,10.8300580558885,16.3875374426118,0.0003999600039996,0.020979020979021
0.514,0.785,-1.84034819921613,4.34029973173929,0.0004999500049995,0.003996003996004
0.18,0.603,-0.12724675545506,6.85386406960492,0.0005999400059994,0.00699300699300699
0.996,0.418,-3.01948176887708,3.6014767564524,0.0015998400159984,0.001998001998002
