"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.682,0.29,-0.820653161647138,1.34729960770719,0.9674,0.675714285714286
0.951,0.184,-1.44496836127494,3.23387284242214,0.8056,0.42
0.693,0.705,-1.15124965816829,2.78388383041655,0.9956,0.7725
0.899,0.977,-3.79356513308912,0.723955875467091,0.7061,0.979
0.662,0.823,-1.97839769806181,2.45082183849864,0.9994,0.773333333333333
0.614,0.957,-1.15518806430394,3.50405031485273,0.994,0.96
0.998,0.763,-1.43816407146386,2.16692894819224,0.9899,0.848571428571429
0.975,0.995,-1.33934572950544,2.23999153766258,1,0.995
0.855,0.79,-2.13830401592804,1.27684850072751,0.9835,0.733333333333333
0.884,0.961,-0.626863570969765,2.18114700559069,1,1
0.914,0.875,-2.14108972917163,2.61420577351746,0.9865,0.976666666666667
0.91,0.936,-0.201969680319831,2.08493389985172,0.9986,0.915
0.557,0.661,-0.518942430412727,3.23946601534117,0.9928,0.695
0.759,0.963,-0.672575407633371,2.58432628809802,0.9997,0.87
0.299,0.533,-3.6175983813235,4.34852874845343,0.6796,0.427
0.544,0.791,-0.975996993923366,2.15246405539551,1,0.825
0.326,0.496,-0.491394438350832,3.86899573132367,0.0342,0.49875
0.412,0.958,-1.03298312819669,2.09225475799364,0.9995,0.986666666666667
0.936,0.957,-0.436206798523829,4.77422079719597,0.8431,0.89
0.357,0.684,-2.08277201722093,0.703068584198323,0.8659,0.596666666666667
0.783,0.903,-1.83955654449497,1.23281496003024,0.8596,0.803
0.697,0.804,-1.51267822175592,2.20803859190407,0.9984,0.684285714285714
0.171,0.276,-1.82814341825356,3.18787891457849,0.8313,0.315
0.852,0.677,-1.78289423482524,1.91562475778149,0.8685,0.698333333333333
0.84,0.944,-1.58955287732065,3.35419786810951,0.9909,0.94
0.333,0.999,-3.96101827636342,0.392799004458975,0.9997,0.951
0.934,0.985,-1.19379642270149,3.59875328486468,0.9992,0.975
0.847,0.926,-1.71347395048247,1.7336075598901,1,0.945
0.716,0.578,-4.27892360557615,0.647467080786932,0.6351,0.661
0.953,0.544,-3.17886505752127,0.718003534663484,0.9759,0.561666666666667
0.993,0.68,-2.4040382304717,2.24068921557019,0.9967,0.886666666666667
0.833,0.463,-0.566339249801072,1.87582061204561,0.9975,0.48
0.554,0.576,-2.13715471950379,2.41741056039298,0.289,0.518
0.985,0.609,-1.91317270448429,1.98029905528517,0.942,0.678333333333333
0.431,0.373,-1.81884307039023,3.57254049230313,0.8738,0.476
0.612,0.919,-1.40386732219337,2.02226360684139,0.988,0.676666666666667
0.616,0.877,-0.667887460945239,1.58446281369331,1,0.646666666666667
0.623,0.998,-1.13155513808866,2.12225791308825,0.9975,0.84
0.765,0.915,-1.62375604292234,2.71133006088663,1,0.965
0.775,0.561,-1.96266778191104,2.08980044048676,0.8894,0.5425
0.568,0.808,-0.873358943366258,0.988026602044873,0.9926,0.795
0.961,0.734,-2.0138076185644,1.29318747714845,0.8788,0.63
0.591,0.724,-2.04031341559187,1.57665644427569,0.9867,0.8575
0.681,0.99,-1.79883099292524,3.05746312954092,0.9974,0.9475
0.497,0.578,-0.881614558892619,3.23922533963658,0.9968,0.828
0.951,0.944,-1.91152908333489,2.09074195488349,0.963,0.97
0.962,0.956,-0.789710728633136,2.21070691254256,0.9959,0.99
0.631,0.881,-1.09756855498344,2.79998531890365,0.9949,0.94
0.494,0.412,-2.08465124503169,2.31487731051876,0.498,0.21
0.976,0.653,-1.36076388689694,1.79643589314588,0.834,0.693333333333333
0.791,0.947,-2.30752281631222,1.954663701098,0.9974,0.935
0.773,0.846,-2.18456915546055,2.38800583444868,0.7514,0.791
0.963,0.732,-1.66132228713422,2.14870834689449,1,0.98
0.661,0.917,-0.80796050730746,2.82514467794367,0.9998,0.61
0.494,0.709,0.0802072939488376,4.05543070386883,0.8706,0.49
0.781,0.87,-2.0724624942714,3.39361228342852,0.7937,0.776666666666667
0.46,0.993,-1.48682808264347,2.08457038089683,0.9812,0.953333333333333
0.892,0.934,-0.393673862633887,2.80129865076795,0.8089,0.91
