"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ccmm",1,0,0,4,0,0,0
"ldm",1,0,0,4,0,0,0
"microbvs",1,0,2,4,0,0,0
"medzim",1,0,0,4,0,0,0
"ccmm",2,0,0,4,0,0,0
"ldm",2,0,0,4,0,0,0
"microbvs",2,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",2,0,0,4,0,0,0
"ccmm",3,0,1,4,0,0,0
"ldm",3,0,0,4,0,0,0
"hima",3,0,0,4,0,0,0
"microbvs",3,1,1,3,0.5,0.25,0.333333333333333
"medzim",3,0,1,4,0,0,0
"ccmm",4,0,1,4,0,0,0
"ldm",4,0,0,4,0,0,0
"microbvs",4,1,1,3,0.5,0.25,0.333333333333333
"medzim",4,1,2,3,0.333333333333333,0.25,0.285714285714286
"ccmm",5,0,0,4,0,0,0
"ldm",5,0,0,4,0,0,0
"microbvs",5,0,3,4,0,0,0
"medzim",5,0,0,4,0,0,0
"ccmm",6,0,0,4,0,0,0
"ldm",6,0,0,4,0,0,0
"microbvs",6,0,0,4,0,0,0
"medzim",6,0,0,4,0,0,0
"ccmm",7,0,0,4,0,0,0
"ldm",7,0,1,4,0,0,0
"microbvs",7,0,1,4,0,0,0
"medzim",7,0,2,4,0,0,0
"ccmm",8,0,0,4,0,0,0
"ldm",8,0,0,4,0,0,0
"microbvs",8,0,7,4,0,0,0
"medzim",8,0,1,4,0,0,0
"ccmm",9,0,1,4,0,0,0
"ldm",9,0,0,4,0,0,0
"microbvs",9,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",9,0,0,4,0,0,0
"ccmm",10,0,0,4,0,0,0
"ldm",10,0,0,4,0,0,0
"microbvs",10,1,9,3,0.1,0.25,0.142857142857143
"medzim",10,0,0,4,0,0,0
"ccmm",11,2,1,2,0.666666666666667,0.5,0.571428571428572
"ldm",11,1,1,3,0.5,0.25,0.333333333333333
"hima",11,1,0,3,1,0.25,0.4
"microbvs",11,1,1,3,0.5,0.25,0.333333333333333
"medzim",11,0,0,4,0,0,0
"ccmm",12,0,0,4,0,0,0
"ldm",12,0,1,4,0,0,0
"hima",12,0,0,4,0,0,0
"microbvs",12,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",12,0,1,4,0,0,0
"ccmm",13,2,4,2,0.333333333333333,0.5,0.4
"ldm",13,0,0,4,0,0,0
"hima",13,0,0,4,0,0,0
"microbvs",13,1,3,3,0.25,0.25,0.25
"medzim",13,0,0,4,0,0,0
"ccmm",14,2,2,2,0.5,0.5,0.5
"ldm",14,1,1,3,0.5,0.25,0.333333333333333
"hima",14,2,2,2,0.5,0.5,0.5
"microbvs",14,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",14,0,1,4,0,0,0
"ccmm",15,0,0,4,0,0,0
"ldm",15,0,1,4,0,0,0
"hima",15,0,0,4,0,0,0
"microbvs",15,0,1,4,0,0,0
"medzim",15,0,2,4,0,0,0
"ccmm",16,2,0,2,1,0.5,0.666666666666667
"ldm",16,0,0,4,0,0,0
"microbvs",16,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",16,0,3,4,0,0,0
"ccmm",17,1,1,3,0.5,0.25,0.333333333333333
"ldm",17,1,0,3,1,0.25,0.4
"hima",17,0,0,4,0,0,0
"microbvs",17,0,7,4,0,0,0
"medzim",17,1,0,3,1,0.25,0.4
"ccmm",18,1,0,3,1,0.25,0.4
"ldm",18,0,0,4,0,0,0
"hima",18,0,0,4,0,0,0
"microbvs",18,0,0,4,0,0,0
"medzim",18,1,1,3,0.5,0.25,0.333333333333333
"ccmm",19,1,0,3,1,0.25,0.4
"ldm",19,0,0,4,0,0,0
"microbvs",19,0,2,4,0,0,0
"medzim",19,0,0,4,0,0,0
"ccmm",20,0,0,4,0,0,0
"ldm",20,0,0,4,0,0,0
"hima",20,0,0,4,0,0,0
"microbvs",20,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",20,0,2,4,0,0,0
"ccmm",21,0,0,4,0,0,0
"ldm",21,0,0,4,0,0,0
"microbvs",21,0,8,4,0,0,0
"medzim",21,0,1,4,0,0,0
"ccmm",22,0,2,4,0,0,0
"ldm",22,0,0,4,0,0,0
"hima",22,0,0,4,0,0,0
"microbvs",22,1,1,3,0.5,0.25,0.333333333333333
"medzim",22,0,0,4,0,0,0
"ccmm",23,1,0,3,1,0.25,0.4
"ldm",23,0,0,4,0,0,0
"hima",23,1,0,3,1,0.25,0.4
"microbvs",23,0,0,4,0,0,0
"medzim",23,1,2,3,0.333333333333333,0.25,0.285714285714286
"ccmm",24,0,5,4,0,0,0
"ldm",24,3,9,1,0.25,0.75,0.375
"hima",24,0,1,4,0,0,0
"microbvs",24,0,2,4,0,0,0
"medzim",24,0,0,4,0,0,0
"ccmm",25,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",25,2,1,2,0.666666666666667,0.5,0.571428571428572
"hima",25,1,0,3,1,0.25,0.4
"microbvs",25,1,7,3,0.125,0.25,0.166666666666667
"medzim",25,0,4,4,0,0,0
"ccmm",26,1,1,3,0.5,0.25,0.333333333333333
"ldm",26,1,0,3,1,0.25,0.4
"hima",26,0,0,4,0,0,0
"microbvs",26,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",26,1,3,3,0.25,0.25,0.25
"ccmm",27,1,0,3,1,0.25,0.4
"ldm",27,0,0,4,0,0,0
"hima",27,0,0,4,0,0,0
"microbvs",27,3,5,1,0.375,0.75,0.5
"medzim",27,0,1,4,0,0,0
"ccmm",28,0,4,4,0,0,0
"ldm",28,0,0,4,0,0,0
"hima",28,0,0,4,0,0,0
"microbvs",28,0,2,4,0,0,0
"medzim",28,0,0,4,0,0,0
"ccmm",29,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",29,2,11,2,0.153846153846154,0.5,0.235294117647059
"hima",29,1,4,3,0.2,0.25,0.222222222222222
"microbvs",29,2,0,2,1,0.5,0.666666666666667
"medzim",29,0,0,4,0,0,0
"ccmm",30,0,2,4,0,0,0
"ldm",30,0,0,4,0,0,0
"hima",30,0,0,4,0,0,0
"microbvs",30,0,1,4,0,0,0
"medzim",30,0,0,4,0,0,0
"ccmm",31,1,1,3,0.5,0.25,0.333333333333333
"ldm",31,0,0,4,0,0,0
"microbvs",31,0,2,4,0,0,0
"medzim",31,0,0,4,0,0,0
"ccmm",32,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",32,1,1,3,0.5,0.25,0.333333333333333
"hima",32,1,2,3,0.333333333333333,0.25,0.285714285714286
"microbvs",32,0,0,4,0,0,0
"medzim",32,0,6,4,0,0,0
"ccmm",33,1,3,3,0.25,0.25,0.25
"ldm",33,1,1,3,0.5,0.25,0.333333333333333
"hima",33,0,0,4,0,0,0
"microbvs",33,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",33,0,1,4,0,0,0
"ccmm",34,1,0,3,1,0.25,0.4
"ldm",34,1,0,3,1,0.25,0.4
"hima",34,0,0,4,0,0,0
"microbvs",34,2,1,2,0.666666666666667,0.5,0.571428571428572
