"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","ldm_p_value","permanova_p_value"
0.215,1,0.489564196873023,6.5059921204096,0.0927,0.128
0.05,0.001,-21.5938542557488,-16.5595428753428,0.1048,0.398
0.093,0.082,3.6066307895513,7.93771956398743,0.6901,0.946
0.268,0.353,2.19829478002475,5.31750679623494,0.9364,0.449
0.062,0.671,-28.9059287314653,-21.7930292807375,0.5871,0.41
0.059,0.091,1.0315220339358,9.61879848753533,0.1703,0.206
0.027,0.033,3.18362362175288,9.39694813205994,0.0256,0.00799200799200799
0.407,0.922,2.71627018571378,8.89628077517147,0.8181,0.49
0.049,0.422,2.61941316253945,8.06943570136343,0.1487,0.011988011988012
0.492,0.734,3.02984316534387,8.65866797996613,0.3305,0.323
0.725,0.828,3.59096811556236,8.72643885198918,0.6703,0.774
0.562,0.785,1.13077830710388,9.35646048987921,0.2421,0.121
0.001,0.326,0.325083289909906,5.09866845682495,0.7391,0.27
0.18,0.182,1.88670416495095,7.60051528716075,0.5203,0.353
0.149,0.374,4.75410410915369,10.7325404519498,0.9962,0.926
0.358,0.023,-0.0952000481451188,6.04542911346271,0.0396,0.012987012987013
0.999,0.348,1.49510593487063,10.9322225871575,0.4479,0.001998001998002
0.998,0.423,3.49574168140629,8.36920736902105,0.8109,0.779
0.996,0.414,1.43485823018791,7.98734293292097,0.5864,0.021978021978022
0.099,0.875,1.84270458909209,6.95036797972206,0.0153,0.0549450549450549
0.027,0.001,-22.4796101707306,-18.4548622125049,0.0003999600039996,0.017982017982018
0.348,1,7.22759466364566,11.0998927225308,0.0021997800219978,0.001998001998002
0.166,0.643,3.59113380507703,7.73288292949234,0.58,0.00699300699300699
0.225,0.51,2.13815831724134,5.4832598877032,0.5224,0.154
0.211,0.578,2.96980028924139,6.78947524824346,0.0077992200779922,0.163
0.121,0.292,3.71296038237939,8.06665079384522,0.5571,0.663
0.23,0.099,1.56137873271656,5.36680861156766,0.7449,0.0849150849150849
0.066,0.378,3.45320645993379,7.97720201943571,0.002999700029997,0.000999000999000999
0.028,0.202,5.74148159806943,9.06530914839188,0.4352,0.31
0.008,0.001,-0.768397438469764,1.27365916247454,0.0041995800419958,0.00799200799200799
0.056,0.501,2.88951017225563,7.69476066538236,0.0057994200579942,0.001998001998002
0.792,0.92,3.33530281768609,6.9793849113898,0.9529,0.964
0.017,0.025,8.83693751757823,12.6212702807388,0.0308,0.001998001998002
0.259,0.987,2.75590750772928,5.96707802345715,0.6758,0.27
1,0.143,0.782706483086883,3.78762692268644,0.7675,0.56
0.238,0.207,0.812983598691176,5.92546687559716,0.2416,0.136
0.104,0.207,1.60924577577947,4.78048092465162,0.0741,0.00999000999000999
0.053,0.255,2.47448370698074,7.25710325344383,0.0338,0.031968031968032
0.207,0.368,2.98060511762822,7.13446979375217,0.1139,0.000999000999000999
0.079,0.065,3.0222256965405,7.22166444180392,0.0277,0.000999000999000999
0.003,0.019,2.90866545788388,5.35623883181733,0.0297,0.001998001998002
0.001,0.001,-20.6279500024328,-18.5344654357057,9.99900009999e-05,0.000999000999000999
0.057,0.338,2.71722048305275,4.68402109235931,0.2019,0.048951048951049
0.025,0.362,2.15661097676906,4.60081946165133,0.0022997700229977,0.000999000999000999
0.115,0.2,3.37546991443167,6.37062353725318,9.99900009999e-05,0.000999000999000999
0.998,0.04,-0.277234586717392,2.70659606318262,0.0033996600339966,0.000999000999000999
0.002,0.335,3.44193931919487,6.54646575427917,0.000999900009999,0.000999000999000999
0.001,0.001,-0.533746626099265,0.414071489071075,0.6897,0.000999000999000999
0.048,0.133,2.16743938524466,4.93912531378584,0.0016998300169983,0.000999000999000999
0.226,0.496,0.928728305574948,5.43129734263087,0.0004999500049995,0.000999000999000999
0.05,0.908,1.71305755713896,3.58815106341084,0.4565,0.212
0.007,0.001,2.96612799064139,5.78696478768344,0.0023997600239976,0.002997002997003
0.131,0.998,2.08310824307589,5.15244721157596,0.0011998800119988,0.000999000999000999
0.002,0.105,8.28796025003625,10.714058662722,0.0002999700029997,0.000999000999000999
0.014,0.084,3.06807304277866,4.94112289569408,0.3108,0.042957042957043
0.164,0.801,1.38044070256924,4.87735021121984,0.0023997600239976,0.000999000999000999
0.056,0.096,1.56861162175657,3.54885436927562,0.0026997300269973,0.002997002997003
0.001,0.001,-20.9126923543258,-18.3937369831642,9.99900009999e-05,0.000999000999000999
0.02,0.196,2.96342720051099,5.48579626674402,0.002999700029997,0.020979020979021
0.001,0.25,-19.9614630095078,-17.4178995272236,9.99900009999e-05,0.000999000999000999
